"subject","task","item","start","end","duration","blink_number"
11,"sentence",9,1739460082809,1739460082995,186,3
11,"sentence",30,1739460110925,1739460111006,81,1
11,"sentence",30,1739460111394,1739460111501,107,2
11,"sentence",30,1739460111880,1739460112105,225,3
11,"sentence",30,1739460112342,1739460112523,181,4
11,"sentence",30,1739460114681,1739460115078,397,5
11,"sentence",34,1739460119702,1739460119801,99,1
11,"sentence",44,1739460130965,1739460131052,87,1
11,"sentence",44,1739460131178,1739460131329,151,2
11,"sentence",44,1739460134664,1739460134735,71,3
11,"sentence",13,1739460138694,1739460138819,125,1
11,"sentence",13,1739460140929,1739460141072,143,2
11,"sentence",13,1739460142807,1739460142934,127,3
11,"sentence",13,1739460144097,1739460144257,160,4
11,"sentence",13,1739460146346,1739460146481,135,5
11,"sentence",36,1739460167926,1739460168059,133,1
11,"sentence",36,1739460169165,1739460169294,129,2
11,"sentence",36,1739460170107,1739460170210,103,3
11,"sentence",39,1739460177371,1739460177588,217,1
11,"sentence",39,1739460178314,1739460178486,172,2
11,"sentence",32,1739460181911,1739460182031,120,1
11,"sentence",32,1739460183178,1739460183529,351,2
11,"sentence",53,1739460187848,1739460187932,84,1
11,"sentence",53,1739460191100,1739460191336,236,2
11,"sentence",38,1739460198629,1739460198657,28,1
11,"sentence",38,1739460200101,1739460200211,110,2
11,"sentence",46,1739460265204,1739460265310,106,1
11,"sentence",46,1739460265461,1739460265611,150,2
11,"sentence",46,1739460266077,1739460266306,229,3
11,"sentence",46,1739460266737,1739460266947,210,4
11,"sentence",17,1739460272450,1739460272573,123,1
11,"sentence",17,1739460275513,1739460275639,126,2
11,"sentence",26,1739460279819,1739460279973,154,1
11,"sentence",26,1739460283883,1739460284112,229,2
11,"sentence",58,1739460288445,1739460288466,21,1
11,"sentence",58,1739460289526,1739460289659,133,2
11,"sentence",58,1739460292294,1739460292419,125,3
11,"sentence",58,1739460292754,1739460292928,174,4
11,"sentence",10,1739460300943,1739460301061,118,1
11,"sentence",48,1739460347363,1739460347535,172,1
11,"sentence",48,1739460347904,1739460348078,174,2
11,"sentence",48,1739460349884,1739460350031,147,3
11,"sentence",3,1739460355183,1739460355336,153,1
11,"sentence",19,1739460363562,1739460363794,232,1
11,"sentence",19,1739460363977,1739460364058,81,2
11,"sentence",19,1739460367018,1739460367078,60,3
11,"sentence",11,1739460370451,1739460370488,37,1
11,"sentence",11,1739460370662,1739460370776,114,2
11,"sentence",11,1739460371319,1739460371501,182,3
11,"sentence",15,1739460377251,1739460377365,114,1
11,"sentence",15,1739460379353,1739460379511,158,2
11,"sentence",35,1739460411058,1739460411242,184,1
11,"sentence",35,1739460413316,1739460413435,119,2
11,"sentence",60,1739460417168,1739460417288,120,1
11,"sentence",60,1739460418724,1739460418852,128,2
11,"sentence",60,1739460420856,1739460420995,139,3
11,"sentence",6,1739460424942,1739460425123,181,1
11,"sentence",40,1739460436713,1739460436813,100,1
11,"sentence",40,1739460437523,1739460437668,145,2
11,"sentence",40,1739460437849,1739460438027,178,3
11,"sentence",43,1739460443253,1739460443371,118,1
11,"sentence",43,1739460444615,1739460444752,137,2
11,"sentence",43,1739460446088,1739460446183,95,3
11,"sentence",43,1739460450019,1739460450121,102,4
11,"sentence",59,1739460582972,1739460583083,111,1
11,"sentence",59,1739460583969,1739460584101,132,2
11,"sentence",59,1739460585664,1739460585774,110,3
11,"sentence",59,1739460586118,1739460586231,113,4
11,"sentence",51,1739460591161,1739460591301,140,1
11,"sentence",42,1739460599224,1739460599337,113,1
11,"sentence",42,1739460600532,1739460600607,75,2
11,"sentence",42,1739460601744,1739460601969,225,3
11,"sentence",42,1739460603174,1739460603266,92,4
11,"sentence",7,1739460609709,1739460609796,87,1
11,"sentence",7,1739460612903,1739460613069,166,2
11,"sentence",1,1739460616495,1739460616535,40,1
11,"sentence",1,1739460618771,1739460618956,185,2
11,"sentence",45,1739460642435,1739460642596,161,1
11,"sentence",45,1739460644027,1739460644132,105,2
11,"sentence",45,1739460645224,1739460645394,170,3
11,"sentence",45,1739460646477,1739460646575,98,4
11,"sentence",25,1739460651976,1739460652064,88,1
11,"sentence",25,1739460654718,1739460654806,88,2
11,"sentence",47,1739460660721,1739460660768,47,1
11,"sentence",37,1739460664771,1739460664900,129,1
11,"sentence",52,1739460674263,1739460674325,62,1
11,"sentence",52,1739460677543,1739460677639,96,2
11,"sentence",52,1739460678762,1739460678894,132,3
11,"sentence",52,1739460679867,1739460680010,143,4
11,"sentence",52,1739460681714,1739460681797,83,5
11,"sentence",8,1739460703018,1739460703114,96,1
11,"sentence",8,1739460704376,1739460704519,143,2
11,"sentence",8,1739460705257,1739460705463,206,3
11,"sentence",12,1739460709847,1739460709996,149,1
11,"sentence",14,1739460730316,1739460730385,69,1
11,"sentence",14,1739460731111,1739460731253,142,2
11,"sentence",14,1739460732556,1739460732708,152,3
11,"sentence",14,1739460734098,1739460734192,94,4
11,"sentence",33,1739460841881,1739460842049,168,1
11,"sentence",33,1739460842259,1739460842399,140,2
11,"sentence",33,1739460843014,1739460843182,168,3
11,"sentence",33,1739460843904,1739460844115,211,4
11,"sentence",33,1739460844959,1739460845119,160,5
11,"sentence",50,1739460850503,1739460850694,191,1
11,"sentence",50,1739460852742,1739460852890,148,2
11,"sentence",28,1739460857015,1739460857028,13,1
11,"sentence",28,1739460859663,1739460859822,159,2
11,"sentence",21,1739460863787,1739460863961,174,1
11,"sentence",21,1739460868685,1739460869423,738,2
11,"sentence",21,1739460870425,1739460870510,85,3
11,"sentence",21,1739460871742,1739460871819,77,4
11,"sentence",18,1739460874758,1739460874799,41,1
11,"sentence",18,1739460875202,1739460875312,110,2
11,"sentence",18,1739460876682,1739460876813,131,3
11,"sentence",18,1739460877587,1739460877686,99,4
11,"sentence",18,1739460878496,1739460878659,163,5
11,"sentence",18,1739460879254,1739460879532,278,6
13,"sentence_DC",21,1745421206541,1745421206608,67,1
13,"sentence_DC",21,1745421207960,1745421208033,73,2
13,"sentence_DC",7,1745421243051,1745421243053,2,1
13,"sentence_DC",33,1745421365043,1745421365171,128,1
13,"sentence_DC",33,1745421365466,1745421365618,152,2
13,"sentence_DC",33,1745421365767,1745421365933,166,3
13,"sentence_DC",33,1745421366215,1745421366325,110,4
13,"sentence_DC",26,1745421502151,1745421502237,86,1
13,"sentence",23,1745420337023,1745420337055,32,1
13,"sentence",19,1745420360639,1745420360663,24,1
13,"sentence",45,1745420405997,1745420406044,47,1
13,"sentence",2,1745420415402,1745420415449,47,1
13,"sentence",54,1745420536815,1745420536835,20,1
13,"sentence",54,1745420539542,1745420539618,76,2
13,"sentence",54,1745420540776,1745420540840,64,3
13,"sentence",9,1745420560824,1745420560893,69,1
13,"sentence",53,1745420617252,1745420617342,90,1
13,"sentence",53,1745420619125,1745420619174,49,2
13,"sentence",53,1745420622899,1745420622954,55,3
13,"sentence",59,1745420631838,1745420631871,33,1
13,"sentence",59,1745420632253,1745420632278,25,2
13,"sentence",12,1745420658753,1745420658801,48,1
13,"sentence",28,1745420671735,1745420671759,24,1
13,"sentence",37,1745420770696,1745420770728,32,1
13,"sentence",4,1745420781733,1745420781815,82,1
13,"sentence",4,1745420782012,1745420782140,128,2
13,"sentence",4,1745420782566,1745420782614,48,3
13,"sentence",55,1745420826854,1745420826918,64,1
13,"sentence",49,1745420873201,1745420873215,14,1
13,"sentence",48,1745420980051,1745420980121,70,1
13,"sentence",21,1745421004377,1745421004405,28,1
13,"sentence",36,1745421033971,1745421034002,31,1
13,"sentence",36,1745421035242,1745421035328,86,2
13,"sentence",13,1745421040438,1745421040479,41,1
13,"sentence",58,1745421048970,1745421049040,70,1
13,"sentence",58,1745421052735,1745421052797,62,2
13,"sentence",30,1745421058073,1745421058074,1,1
13,"sentence",30,1745421060305,1745421060341,36,2
13,"sentence",7,1745421089425,1745421089507,82,1
13,"sentence",1,1745421095869,1745421095943,74,1
13,"sentence",15,1745421107174,1745421107229,55,1
13,"sentence",46,1745421161651,1745421161769,118,1
13,"sentence",46,1745421162961,1745421163018,57,2
14,"sentence_DC",16,1745424299323,1745424299443,120,1
14,"sentence_DC",16,1745424300765,1745424300802,37,2
14,"sentence_DC",15,1745424302783,1745424302897,114,1
14,"sentence_DC",38,1745424307084,1745424307184,100,1
14,"sentence_DC",31,1745424310613,1745424310720,107,1
14,"sentence_DC",31,1745424311647,1745424311778,131,2
14,"sentence_DC",29,1745424314277,1745424314399,122,1
14,"sentence_DC",14,1745424333856,1745424334073,217,1
14,"sentence_DC",14,1745424334145,1745424334202,57,2
14,"sentence_DC",11,1745424337087,1745424337210,123,1
14,"sentence_DC",26,1745424340770,1745424340839,69,1
14,"sentence_DC",34,1745424343705,1745424343798,93,1
14,"sentence_DC",34,1745424345119,1745424345233,114,2
14,"sentence_DC",17,1745424348094,1745424348181,87,1
14,"sentence_DC",17,1745424349128,1745424349261,133,2
14,"sentence_DC",17,1745424349755,1745424349908,153,3
14,"sentence_DC",37,1745424439882,1745424439948,66,1
14,"sentence_DC",37,1745424441120,1745424441192,72,2
14,"sentence_DC",2,1745424443204,1745424443239,35,1
14,"sentence_DC",2,1745424444232,1745424444328,96,2
14,"sentence_DC",32,1745424448006,1745424448133,127,1
14,"sentence_DC",18,1745424455707,1745424455802,95,1
14,"sentence_DC",18,1745424456826,1745424456928,102,2
14,"sentence_DC",28,1745424458687,1745424458775,88,1
14,"sentence_DC",28,1745424459717,1745424459820,103,2
14,"sentence_DC",19,1745424478917,1745424479081,164,1
14,"sentence_DC",19,1745424480607,1745424480702,95,2
14,"sentence_DC",19,1745424481459,1745424481569,110,3
14,"sentence_DC",6,1745424484467,1745424484522,55,1
14,"sentence_DC",6,1745424485784,1745424485848,64,2
14,"sentence_DC",21,1745424488233,1745424488386,153,1
14,"sentence_DC",36,1745424491248,1745424491345,97,1
14,"sentence_DC",36,1745424492656,1745424492780,124,2
14,"sentence_DC",39,1745424494728,1745424494850,122,1
14,"sentence_DC",39,1745424496148,1745424496315,167,2
14,"sentence_DC",39,1745424497188,1745424497373,185,3
14,"sentence_DC",3,1745424516154,1745424516254,100,1
14,"sentence_DC",3,1745424517503,1745424517642,139,2
14,"sentence_DC",33,1745424519118,1745424519189,71,1
14,"sentence_DC",33,1745424520594,1745424520685,91,2
14,"sentence_DC",23,1745424523922,1745424524034,112,1
14,"sentence_DC",23,1745424524036,1745424524036,0,2
14,"sentence_DC",23,1745424524038,1745424524038,0,3
14,"sentence_DC",23,1745424524040,1745424524040,0,4
14,"sentence_DC",23,1745424524042,1745424524042,0,5
14,"sentence_DC",13,1745424526062,1745424526125,63,1
14,"sentence_DC",13,1745424527822,1745424527976,154,2
14,"sentence_DC",30,1745424531284,1745424531424,140,1
14,"sentence_DC",9,1745424603065,1745424603227,162,1
14,"sentence_DC",9,1745424604335,1745424604387,52,2
14,"sentence_DC",4,1745424607641,1745424607675,34,1
14,"sentence_DC",4,1745424608512,1745424608591,79,2
14,"sentence_DC",40,1745424611347,1745424611445,98,1
14,"sentence_DC",1,1745424613609,1745424613712,103,1
14,"sentence_DC",25,1745424616113,1745424616201,88,1
14,"sentence_DC",22,1745424658811,1745424658939,128,1
14,"sentence_DC",22,1745424660187,1745424660270,83,2
14,"sentence_DC",35,1745424665033,1745424665139,106,1
14,"sentence_DC",8,1745424668829,1745424668878,49,1
14,"sentence_DC",12,1745424672454,1745424672555,101,1
14,"sentence_DC",27,1745424676754,1745424676849,95,1
14,"sentence_DC",24,1745424697024,1745424697097,73,1
14,"sentence_DC",24,1745424697998,1745424698027,29,2
14,"sentence_DC",5,1745424700534,1745424700555,21,1
14,"sentence_DC",5,1745424701952,1745424702096,144,2
14,"sentence_DC",20,1745424704784,1745424704835,51,1
14,"sentence_DC",20,1745424706008,1745424706112,104,2
14,"sentence_DC",7,1745424709680,1745424709779,99,1
14,"sentence_DC",10,1745424711913,1745424711975,62,1
14,"sentence_DC",10,1745424713007,1745424713122,115,2
14,"sentence",41,1745423508146,1745423508258,112,1
14,"sentence",5,1745423513325,1745423513404,79,1
14,"sentence",5,1745423514934,1745423514954,20,2
14,"sentence",20,1745423518378,1745423518435,57,1
14,"sentence",20,1745423519633,1745423519679,46,2
14,"sentence",20,1745423520187,1745423520268,81,3
14,"sentence",20,1745423520794,1745423520861,67,4
14,"sentence",48,1745423526047,1745423526211,164,1
14,"sentence",48,1745423527778,1745423527837,59,2
14,"sentence",48,1745423528724,1745423528784,60,3
14,"sentence",48,1745423529133,1745423529233,100,4
14,"sentence",17,1745423534526,1745423534593,67,1
14,"sentence",17,1745423535959,1745423535974,15,2
14,"sentence",52,1745423558055,1745423558109,54,1
14,"sentence",52,1745423559288,1745423559333,45,2
14,"sentence",22,1745423563815,1745423563897,82,1
14,"sentence",22,1745423564969,1745423565054,85,2
14,"sentence",29,1745423569314,1745423569431,117,1
14,"sentence",46,1745423574873,1745423574940,67,1
14,"sentence",46,1745423575812,1745423575897,85,2
14,"sentence",16,1745423751965,1745423752049,84,1
14,"sentence",16,1745423753367,1745423753435,68,2
14,"sentence",49,1745423760146,1745423760214,68,1
14,"sentence",19,1745423765185,1745423765351,166,1
14,"sentence",19,1745423766643,1745423766707,64,2
14,"sentence",23,1745423771182,1745423771246,64,1
14,"sentence",23,1745423772170,1745423772229,59,2
14,"sentence",23,1745423772878,1745423772954,76,3
14,"sentence",38,1745423777286,1745423777456,170,1
14,"sentence",60,1745423806842,1745423806953,111,1
14,"sentence",60,1745423808259,1745423808339,80,2
14,"sentence",3,1745423812449,1745423812875,426,1
14,"sentence",3,1745423813281,1745423813377,96,2
14,"sentence",34,1745423825421,1745423825498,77,1
14,"sentence",34,1745423826535,1745423826572,37,2
14,"sentence",44,1745423830480,1745423830579,99,1
14,"sentence",8,1745423834779,1745423834910,131,1
14,"sentence",8,1745423836100,1745423836183,83,2
14,"sentence",50,1745423858156,1745423858251,95,1
14,"sentence",10,1745423864578,1745423864662,84,1
14,"sentence",10,1745423866060,1745423866133,73,2
14,"sentence",35,1745423870989,1745423871083,94,1
14,"sentence",55,1745423876771,1745423876839,68,1
14,"sentence",59,1745423880407,1745423880583,176,1
14,"sentence",54,1745423915075,1745423915149,74,1
14,"sentence",54,1745423916476,1745423916542,66,2
14,"sentence",54,1745423918237,1745423918296,59,3
14,"sentence",54,1745423919510,1745423919614,104,4
14,"sentence",24,1745423922385,1745423922474,89,1
14,"sentence",24,1745423923441,1745423923509,68,2
14,"sentence",40,1745423927730,1745423927808,78,1
14,"sentence",40,1745423928427,1745423928525,98,2
14,"sentence",2,1745423932641,1745423932723,82,1
14,"sentence",2,1745423933189,1745423933511,322,2
14,"sentence",2,1745423933886,1745423933977,91,3
14,"sentence",32,1745423944913,1745423944972,59,1
14,"sentence",32,1745423946083,1745423946122,39,2
14,"sentence",25,1745423966660,1745423966714,54,1
14,"sentence",14,1745423971461,1745423971581,120,1
14,"sentence",14,1745423973686,1745423973754,68,2
14,"sentence",27,1745423977592,1745423977630,38,1
14,"sentence",27,1745423978680,1745423978738,58,2
14,"sentence",18,1745423982847,1745423982893,46,1
14,"sentence",18,1745423983298,1745423983371,73,2
14,"sentence",18,1745423985225,1745423985309,84,3
14,"sentence",56,1745423989717,1745423989830,113,1
14,"sentence",56,1745423990989,1745423991095,106,2
14,"sentence",51,1745424011413,1745424011453,40,1
14,"sentence",51,1745424012035,1745424012108,73,2
14,"sentence",51,1745424013098,1745424013175,77,3
14,"sentence",51,1745424014090,1745424014161,71,4
14,"sentence",51,1745424015258,1745424015325,67,5
14,"sentence",37,1745424020628,1745424020743,115,1
14,"sentence",4,1745424025268,1745424025441,173,1
14,"sentence",4,1745424027039,1745424027074,35,2
14,"sentence",33,1745424031333,1745424031409,76,1
14,"sentence",13,1745424035762,1745424035784,22,1
14,"sentence",11,1745424090483,1745424090565,82,1
14,"sentence",11,1745424091341,1745424091367,26,2
14,"sentence",11,1745424092509,1745424092577,68,3
14,"sentence",21,1745424096637,1745424096726,89,1
14,"sentence",21,1745424097787,1745424097873,86,2
14,"sentence",57,1745424101710,1745424101795,85,1
14,"sentence",57,1745424103341,1745424103460,119,2
14,"sentence",6,1745424108466,1745424108571,105,1
14,"sentence",6,1745424109876,1745424109960,84,2
14,"sentence",43,1745424114513,1745424114660,147,1
14,"sentence",43,1745424116038,1745424116153,115,2
14,"sentence",43,1745424116894,1745424116995,101,3
14,"sentence",39,1745424139609,1745424139695,86,1
14,"sentence",39,1745424141642,1745424141723,81,2
14,"sentence",31,1745424145163,1745424145283,120,1
14,"sentence",15,1745424150593,1745424150666,73,1
14,"sentence",15,1745424151310,1745424151411,101,2
14,"sentence",26,1745424156198,1745424156309,111,1
14,"sentence",26,1745424157243,1745424157358,115,2
14,"sentence",26,1745424158231,1745424158282,51,3
14,"sentence",7,1745424162719,1745424162844,125,1
14,"sentence",7,1745424163832,1745424163977,145,2
14,"sentence",7,1745424166456,1745424166542,86,3
14,"sentence",30,1745424186869,1745424186974,105,1
14,"sentence",30,1745424187970,1745424188047,77,2
14,"sentence",30,1745424188862,1745424188985,123,3
14,"sentence",30,1745424189233,1745424189367,134,4
14,"sentence",30,1745424189936,1745424190061,125,5
14,"sentence",53,1745424195321,1745424195553,232,1
14,"sentence",53,1745424196801,1745424196920,119,2
14,"sentence",53,1745424198847,1745424198885,38,3
14,"sentence",42,1745424202946,1745424203035,89,1
14,"sentence",42,1745424204688,1745424204754,66,2
14,"sentence",28,1745424208490,1745424208623,133,1
14,"sentence",28,1745424210449,1745424210616,167,2
14,"sentence",1,1745424215771,1745424215849,78,1
14,"sentence",1,1745424216313,1745424216378,65,2
14,"sentence",1,1745424218431,1745424218519,88,3
14,"sentence",1,1745424219317,1745424219423,106,4
14,"sentence",45,1745424248148,1745424248260,112,1
14,"sentence",45,1745424249298,1745424249427,129,2
14,"sentence",45,1745424251050,1745424251150,100,3
14,"sentence",36,1745424255039,1745424255149,110,1
14,"sentence",36,1745424256173,1745424256271,98,2
14,"sentence",9,1745424262597,1745424262628,31,1
14,"sentence",9,1745424263051,1745424263148,97,2
14,"sentence",58,1745424267372,1745424267475,103,1
14,"sentence",58,1745424268606,1745424268735,129,2
14,"sentence",58,1745424270086,1745424270164,78,3
14,"sentence",58,1745424270623,1745424270761,138,4
14,"sentence",58,1745424271048,1745424271176,128,5
14,"sentence",47,1745424274592,1745424274724,132,1
17,"sentence",57,1745933036785,1745933036847,62,1
17,"sentence",57,1745933037683,1745933037768,85,2
17,"sentence",13,1745933045394,1745933045413,19,1
17,"sentence",38,1745933052727,1745933052753,26,1
17,"sentence",11,1745933059659,1745933059711,52,1
17,"sentence",48,1745933087901,1745933087944,43,1
17,"sentence",31,1745933094051,1745933094106,55,1
17,"sentence",50,1745933107848,1745933107927,79,1
17,"sentence",21,1745933117090,1745933117113,23,1
17,"sentence",60,1745933170466,1745933170506,40,1
17,"sentence",39,1745933179609,1745933179683,74,1
17,"sentence",59,1745933191616,1745933191705,89,1
17,"sentence",44,1745933223122,1745933223169,47,1
17,"sentence",46,1745933230064,1745933230109,45,1
17,"sentence",40,1745933235867,1745933235899,32,1
17,"sentence",33,1745933241646,1745933241700,54,1
17,"sentence",18,1745933247335,1745933247366,31,1
17,"sentence",42,1745933279079,1745933279107,28,1
17,"sentence",53,1745933291311,1745933291359,48,1
17,"sentence",20,1745933304173,1745933304244,71,1
17,"sentence",6,1745933377065,1745933377106,41,1
17,"sentence",4,1745933410817,1745933410847,30,1
17,"sentence",23,1745933421695,1745933421759,64,1
17,"sentence",56,1745933433565,1745933433632,67,1
17,"sentence",17,1745933475210,1745933475316,106,1
17,"sentence",1,1745933546613,1745933546647,34,1
17,"sentence",1,1745933549659,1745933549677,18,2
17,"sentence",32,1745933551892,1745933551900,8,1
17,"sentence",32,1745933554457,1745933554540,83,2
17,"sentence",16,1745933590101,1745933590163,62,1
17,"sentence",34,1745933617819,1745933617872,53,1
17,"sentence",25,1745933656856,1745933656910,54,1
17,"sentence",10,1745933664569,1745933664625,56,1
17,"sentence",52,1745933753241,1745933753312,71,1
18,"sentence_DC",12,1746537848074,1746537848200,126,1
18,"sentence_DC",38,1746537938320,1746537938545,225,1
18,"sentence_DC",29,1746537975163,1746537975245,82,1
18,"sentence_DC",29,1746537975405,1746537975595,190,2
18,"sentence_DC",36,1746538071540,1746538071875,335,1
18,"sentence_DC",36,1746538072656,1746538072859,203,2
18,"sentence_DC",37,1746538084173,1746538084369,196,1
18,"sentence_DC",37,1746538084894,1746538084922,28,2
18,"sentence_DC",34,1746538090398,1746538090578,180,1
18,"sentence_DC",25,1746538160995,1746538161164,169,1
18,"sentence",42,1746537155684,1746537155888,204,1
18,"sentence",42,1746537156829,1746537157019,190,2
18,"sentence",22,1746537209134,1746537209342,208,1
18,"sentence",22,1746537209734,1746537209823,89,2
18,"sentence",55,1746537270383,1746537270555,172,1
18,"sentence",52,1746537274951,1746537275174,223,1
18,"sentence",52,1746537277711,1746537277795,84,2
18,"sentence",17,1746537312372,1746537312541,169,1
18,"sentence",17,1746537313032,1746537313046,14,2
18,"sentence",33,1746537350162,1746537350189,27,1
18,"sentence",33,1746537353148,1746537353327,179,2
18,"sentence",41,1746537412910,1746537413034,124,1
18,"sentence",41,1746537413645,1746537413710,65,2
18,"sentence",5,1746537428059,1746537428282,223,1
18,"sentence",25,1746537438178,1746537438335,157,1
18,"sentence",8,1746537459443,1746537459666,223,1
18,"sentence",16,1746537463628,1746537463788,160,1
18,"sentence",29,1746537479830,1746537480005,175,1
18,"sentence",23,1746537517102,1746537517304,202,1
18,"sentence",38,1746537526296,1746537526541,245,1
18,"sentence",38,1746537528226,1746537528240,14,2
18,"sentence",3,1746537603012,1746537603195,183,1
18,"sentence",4,1746537607864,1746537607988,124,1
18,"sentence",45,1746537623785,1746537623875,90,1
18,"sentence",56,1746537631449,1746537631580,131,1
18,"sentence",13,1746537655741,1746537655892,151,1
18,"sentence",13,1746537657014,1746537657228,214,2
18,"sentence",13,1746537657442,1746537657471,29,3
18,"sentence",13,1746537657751,1746537657873,122,4
18,"sentence",31,1746537681817,1746537682004,187,1
18,"sentence",40,1746537708389,1746537708584,195,1
18,"sentence",40,1746537708756,1746537708860,104,2
18,"sentence",49,1746537776105,1746537776277,172,1
18,"sentence",58,1746537785672,1746537785841,169,1
18,"sentence",58,1746537786998,1746537787094,96,2
18,"sentence",10,1746537797538,1746537797683,145,1
18,"sentence",10,1746537800391,1746537800425,34,2
19,"sentence_DC",10,1746541499441,1746541499462,21,1
19,"sentence_DC",40,1746541504776,1746541504793,17,1
19,"sentence_DC",40,1746541504891,1746541504967,76,2
19,"sentence",9,1746540753221,1746540753327,106,1
19,"sentence",14,1746540872624,1746540872687,63,1
19,"sentence",48,1746540932380,1746540932479,99,1
19,"sentence",2,1746540939520,1746540939661,141,1
19,"sentence",12,1746541171557,1746541171667,110,1
19,"sentence",53,1746541344889,1746541345011,122,1
19,"sentence",33,1746541434247,1746541434252,5,1
2,"sentence",12,1724324924280,1724324924399,119,1
2,"sentence",12,1724324926016,1724324926075,59,2
2,"sentence",12,1724324927516,1724324927594,78,3
2,"sentence",12,1724324927753,1724324927876,123,4
2,"sentence",12,1724324928081,1724324928195,114,5
2,"sentence",12,1724324928620,1724324928679,59,6
2,"sentence",12,1724324933945,1724324934052,107,7
2,"sentence",12,1724324939685,1724324939706,21,8
2,"sentence",12,1724324940033,1724324940126,93,9
2,"sentence",12,1724324941375,1724324941421,46,10
2,"sentence",12,1724324941770,1724324941848,78,11
2,"sentence",12,1724324942375,1724324944569,2194,12
2,"sentence",12,1724324945101,1724324946183,1082,13
2,"sentence",2,1724324994268,1724324994353,85,1
2,"sentence",32,1724325025367,1724325025475,108,1
2,"sentence",32,1724325025721,1724325025885,164,2
