"subject","task","item","start","end","duration","blink_number"
11,"sentence_DC",15,1739460912030,1739460912133,103,1
11,"sentence_DC",15,1739460913840,1739460913940,100,2
11,"sentence_DC",2,1739460924837,1739460924924,87,1
11,"sentence_DC",28,1739460949870,1739460950012,142,1
11,"sentence_DC",37,1739460961297,1739460961393,96,1
11,"sentence_DC",5,1739460964961,1739460965065,104,1
11,"sentence_DC",19,1739461028155,1739461028278,123,1
11,"sentence_DC",19,1739461028911,1739461029043,132,2
11,"sentence_DC",6,1739461034819,1739461034934,115,1
11,"sentence_DC",6,1739461035972,1739461036109,137,2
11,"sentence_DC",6,1739461037191,1739461037239,48,3
11,"sentence_DC",36,1739461043284,1739461043409,125,1
11,"sentence_DC",10,1739461069115,1739461069299,184,1
11,"sentence_DC",21,1739461077913,1739461078032,119,1
11,"sentence_DC",11,1739461084720,1739461084809,89,1
11,"sentence_DC",4,1739461105248,1739461105432,184,1
11,"sentence_DC",4,1739461105661,1739461105788,127,2
11,"sentence_DC",38,1739461109315,1739461109452,137,1
11,"sentence_DC",13,1739461115401,1739461115528,127,1
11,"sentence_DC",13,1739461116949,1739461117032,83,2
11,"sentence_DC",18,1739461245054,1739461245285,231,1
11,"sentence_DC",18,1739461246673,1739461246909,236,2
11,"sentence_DC",18,1739461247884,1739461248032,148,3
11,"sentence_DC",20,1739461251112,1739461251218,106,1
11,"sentence_DC",39,1739461252899,1739461252921,22,1
11,"sentence_DC",39,1739461253869,1739461254003,134,2
11,"sentence_DC",16,1739461261580,1739461261709,129,1
11,"sentence_DC",16,1739461262304,1739461262534,230,2
11,"sentence_DC",29,1739461281855,1739461282036,181,1
11,"sentence_DC",29,1739461282658,1739461282834,176,2
11,"sentence_DC",29,1739461283518,1739461283754,236,3
11,"sentence_DC",17,1739461287617,1739461287769,152,1
11,"sentence_DC",27,1739461290365,1739461290456,91,1
11,"sentence_DC",40,1739461296263,1739461296402,139,1
11,"sentence_DC",9,1739461315077,1739461315197,120,1
11,"sentence_DC",9,1739461315971,1739461316171,200,2
11,"sentence_DC",8,1739461320090,1739461320293,203,1
11,"sentence_DC",24,1739461324053,1739461324183,130,1
11,"sentence_DC",33,1739461330255,1739461330330,75,1
11,"sentence_DC",33,1739461331470,1739461331657,187,2
11,"sentence",20,1739459867965,1739459868090,125,1
11,"sentence",20,1739459870314,1739459870430,116,2
11,"sentence",20,1739459873118,1739459873370,252,3
11,"sentence",31,1739459882737,1739459882866,129,1
11,"sentence",31,1739459884566,1739459884607,41,2
11,"sentence",55,1739459887037,1739459887043,6,1
11,"sentence",55,1739459889269,1739459889387,118,2
11,"sentence",49,1739459895722,1739459895810,88,1
11,"sentence",49,1739459898583,1739459898691,108,2
11,"sentence",27,1739459904192,1739459904323,131,1
11,"sentence",57,1739459938944,1739459938972,28,1
11,"sentence",57,1739459939095,1739459939198,103,2
11,"sentence",57,1739459939706,1739459939858,152,3
11,"sentence",57,1739459940802,1739459940908,106,4
11,"sentence",57,1739459941934,1739459942068,134,5
11,"sentence",57,1739459943107,1739459944313,1206,6
11,"sentence",57,1739459944707,1739459944912,205,7
11,"sentence",41,1739459949713,1739459949851,138,1
11,"sentence",56,1739459960961,1739459961066,105,1
11,"sentence",5,1739459964675,1739459964780,105,1
11,"sentence",5,1739459967630,1739459967720,90,2
11,"sentence",16,1739459970137,1739459970146,9,1
11,"sentence",16,1739459971055,1739459971337,282,2
11,"sentence",16,1739459974019,1739459974126,107,3
11,"sentence",23,1739460049302,1739460049407,105,1
11,"sentence",23,1739460049964,1739460050082,118,2
11,"sentence",24,1739460056198,1739460056199,1,1
11,"sentence",24,1739460057704,1739460057806,102,2
11,"sentence",24,1739460059222,1739460059480,258,3
11,"sentence",24,1739460059917,1739460060203,286,4
11,"sentence",22,1739460064330,1739460064462,132,1
11,"sentence",22,1739460067121,1739460067256,135,2
11,"sentence",54,1739460071433,1739460071529,96,1
11,"sentence",54,1739460075175,1739460075300,125,2
11,"sentence",9,1739460079332,1739460079441,109,1
11,"sentence",9,1739460082381,1739460082525,144,2
