"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker"
"1",2,50,"low",5,"maize","Yes",NA,NA,NA,768,"Webcam"
"2",2,3,"high",5,"massive","Yes",160.10009765625,160.10009765625,160.10009765625,1728.30029296875,"Webcam"
"3",2,34,"low",4,"neat","Yes",704.099853515625,704.099853515625,704.099853515625,1680.09985351562,"Webcam"
"4",2,57,"low",10,"mentor","Yes",NA,NA,NA,192.19995117187,"Webcam"
"5",2,22,"high",9,"speed","Yes",864.09985351563,864.09985351563,864.09985351563,864.09985351563,"Webcam"
"6",2,16,"high",5,"island","Yes",463.80004882813,463.80004882813,463.80004882813,2655.80004882813,"Webcam"
"7",2,19,"high",5,"stage","Yes",NA,NA,NA,560,"Webcam"
"8",2,17,"high",4,"market","Yes",128.10009765625,128.10009765625,128.10009765625,735.90014648437,"Webcam"
"9",2,5,"high",6,"famous","Yes",848,848,848,848,"Webcam"
"10",2,2,"high",7,"green","Yes",640.099853515625,640.099853515625,640.099853515625,1568.09985351562,"Webcam"
"11",2,42,"low",4,"prompt","Yes",367.900146484375,NA,1359.90014648438,1520.00024414063,"Webcam"
"12",2,26,"high",10,"foot","Yes",432.2001953125,432.2001953125,432.2001953125,432.2001953125,"Webcam"
"13",2,21,"high",5,"water","Yes",NA,NA,NA,656.100097656299,"Webcam"
"14",2,58,"low",6,"doorway","Yes",128,NA,400,400,"Webcam"
"15",2,38,"low",7,"rapid","Yes",543.89990234375,543.89990234375,543.89990234375,543.89990234375,"Webcam"
"16",2,27,"high",10,"table","Yes",NA,NA,NA,960.29980468749,"Webcam"
"17",2,36,"low",6,"sincere","Yes",NA,NA,NA,575.80004882812,"Webcam"
"18",2,55,"low",7,"purse","Yes",159.89990234375,159.89990234375,159.89990234375,1263.69995117187,"Webcam"
"19",2,30,"high",5,"quality","Yes",NA,NA,NA,1104.09985351562,"Webcam"
"20",2,31,"low",4,"trendy","Yes",NA,NA,NA,496.09985351562,"Webcam"
"21",2,47,"low",5,"motel","Yes",128,128,128,911.899902343755,"Webcam"
"22",2,39,"low",6,"nerdy","Yes",NA,NA,NA,959.899902343755,"Webcam"
"23",2,54,"low",7,"paradox","Yes",976,976,976,976,"Webcam"
"24",2,4,"high",7,"blue","Yes",NA,NA,NA,208,"Webcam"
"25",2,46,"low",7,"pawn","Yes",832.000000000005,832.000000000005,832.000000000005,832.000000000005,"Webcam"
"26",2,10,"high",5,"quiet","Yes",NA,NA,NA,1200.19995117187,"Webcam"
"27",2,51,"low",5,"clerk","Yes",NA,NA,NA,271.89990234375,"Webcam"
"28",2,28,"high",5,"weather","Yes",368.19995117187,368.19995117187,368.19995117187,1376.2001953125,"Webcam"
"29",2,40,"low",8,"bulky","Yes",768,768,768,768,"Webcam"
"30",2,53,"low",6,"folder","Yes",NA,NA,NA,111.89990234375,"Webcam"
"31",2,41,"low",9,"stale","Yes",335.900146484375,335.900146484375,335.900146484375,335.900146484375,"Webcam"
"32",2,33,"low",4,"sturdy","Yes",NA,NA,NA,240,"Webcam"
"33",2,13,"high",6,"normal","Yes",304,304,304,304,"Webcam"
"34",2,23,"high",7,"system","Yes",256.09985351562,256.09985351562,256.09985351562,512.09985351563,"Webcam"
"35",2,43,"low",7,"wavy","Yes",NA,NA,NA,256.09985351562,"Webcam"
"37",2,29,"high",5,"history","Yes",NA,NA,NA,608.09985351563,"Webcam"
"38",2,1,"high",5,"social","Yes",NA,NA,NA,544,"Webcam"
"39",2,32,"low",6,"leaky","Yes",NA,NA,NA,832.099853515629,"Webcam"
"40",2,9,"high",8,"local","Yes",NA,NA,NA,368.100097656299,"Webcam"
"41",2,24,"high",6,"picture","Yes",528.2001953125,NA,912.30029296875,912.30029296875,"Webcam"
"42",2,37,"low",6,"prudent","Yes",NA,NA,NA,351.89990234375,"Webcam"
"43",2,35,"low",6,"cheery","Yes",368.10009765625,NA,528.300048828125,528.300048828125,"Webcam"
"44",2,49,"low",5,"brawl","Yes",240,NA,736.000000000005,736.000000000005,"Webcam"
"45",3,26,"high",10,"foot","Yes",NA,NA,NA,1696.09985351563,"Webcam"
"46",4,50,"low",5,"maize","Yes",NA,NA,NA,143.80004882813,"Webcam"
"47",4,14,"high",5,"warm","Yes",NA,NA,NA,448,"Webcam"
"48",4,3,"high",5,"massive","Yes",NA,NA,NA,560.09985351562,"Webcam"
"49",4,57,"low",10,"mentor","Yes",NA,NA,NA,1744.39990234376,"Webcam"
"50",4,16,"high",5,"island","Yes",NA,NA,NA,2032.2998046875,"Webcam"
"51",4,19,"high",5,"stage","Yes",NA,NA,NA,463.90014648437,"Webcam"
"52",4,17,"high",4,"market","Yes",768,768,768,768,"Webcam"
"53",4,5,"high",6,"famous","Yes",NA,NA,NA,527.90014648437,"Webcam"
"54",4,18,"high",5,"house","Yes",143.800048828125,143.800048828125,143.800048828125,143.800048828125,"Webcam"
"55",4,2,"high",7,"green","Yes",495.90014648438,495.90014648438,495.90014648438,495.90014648438,"Webcam"
"56",4,25,"high",9,"oil","Yes",NA,NA,NA,1024,"Webcam"
"57",4,26,"high",10,"foot","Yes",NA,NA,NA,768.10009765625,"Webcam"
"58",4,21,"high",5,"water","Yes",528.09985351562,528.09985351562,528.09985351562,784,"Webcam"
"59",4,38,"low",7,"rapid","Yes",NA,NA,NA,1951.99999999999,"Webcam"
"60",4,27,"high",10,"table","Yes",NA,NA,NA,800.29980468751,"Webcam"
"61",4,48,"low",7,"heist","Yes",NA,NA,NA,239.80004882813,"Webcam"
