"","el_time","x","y","pupil","Unix_time","subject","item","task"
"1",5335564,205,458.4,594,1746541460597,19,6,"sentence_DC"
"2",5335565,205.2,458.2,594,1746541460598,19,6,"sentence_DC"
"3",5335566,205.4,458.3,596,1746541460599,19,6,"sentence_DC"
"4",5335567,206.3,458.8,599,1746541460600,19,6,"sentence_DC"
"5",5335568,207.4,459.1,598,1746541460601,19,6,"sentence_DC"
"6",5335569,208.4,459.1,598,1746541460602,19,6,"sentence_DC"
"7",5335570,208.4,459.4,598,1746541460603,19,6,"sentence_DC"
"8",5335571,208.9,459.7,598,1746541460604,19,6,"sentence_DC"
"9",5335572,209.5,459.8,599,1746541460605,19,6,"sentence_DC"
"10",5335573,207.9,459.5,600,1746541460606,19,6,"sentence_DC"
"11",5335574,205.8,458.7,599,1746541460607,19,6,"sentence_DC"
"12",5335575,203.6,457.7,598,1746541460608,19,6,"sentence_DC"
"13",5335576,203.4,456.8,598,1746541460609,19,6,"sentence_DC"
"14",5335577,203.2,456.5,598,1746541460610,19,6,"sentence_DC"
"15",5335578,203.4,456.7,598,1746541460611,19,6,"sentence_DC"
"16",5335579,204.1,457,598,1746541460612,19,6,"sentence_DC"
"17",5335580,204.9,457.1,598,1746541460613,19,6,"sentence_DC"
"18",5335581,205.3,457.9,598,1746541460614,19,6,"sentence_DC"
"19",5335582,206.1,458.8,598,1746541460615,19,6,"sentence_DC"
"20",5335583,206.8,459.8,598,1746541460616,19,6,"sentence_DC"
"21",5335584,207.5,460,598,1746541460617,19,6,"sentence_DC"
"22",5335585,208,460.2,598,1746541460618,19,6,"sentence_DC"
"23",5335586,208.2,460.3,597,1746541460619,19,6,"sentence_DC"
"24",5335587,208.2,460.4,597,1746541460620,19,6,"sentence_DC"
"25",5335588,207.3,460.3,596,1746541460621,19,6,"sentence_DC"
"26",5335589,206.7,460.1,596,1746541460622,19,6,"sentence_DC"
"27",5335590,206.3,460.8,596,1746541460623,19,6,"sentence_DC"
"28",5335591,206.4,461.7,597,1746541460624,19,6,"sentence_DC"
"29",5335592,206.4,462.6,598,1746541460625,19,6,"sentence_DC"
"30",5335593,206.5,462.6,599,1746541460626,19,6,"sentence_DC"
"31",5335594,206.5,462.4,599,1746541460627,19,6,"sentence_DC"
"32",5335595,206.8,460.7,599,1746541460628,19,6,"sentence_DC"
"33",5335596,207,459,598,1746541460629,19,6,"sentence_DC"
"34",5335597,207.2,457.7,596,1746541460630,19,6,"sentence_DC"
"35",5335598,207.1,458,595,1746541460631,19,6,"sentence_DC"
"36",5335599,207.1,457.8,595,1746541460632,19,6,"sentence_DC"
"37",5335600,207.2,457.2,596,1746541460633,19,6,"sentence_DC"
"38",5335601,207.2,456.8,596,1746541460634,19,6,"sentence_DC"
"39",5335602,207.2,457.1,597,1746541460635,19,6,"sentence_DC"
"40",5335603,206.2,457.6,597,1746541460636,19,6,"sentence_DC"
"41",5335604,205.2,458.1,596,1746541460637,19,6,"sentence_DC"
"42",5335605,205,458.8,596,1746541460638,19,6,"sentence_DC"
"43",5335606,205.8,459.2,596,1746541460639,19,6,"sentence_DC"
"44",5335607,207.3,459.5,598,1746541460640,19,6,"sentence_DC"
"45",5335608,208.1,459.6,599,1746541460641,19,6,"sentence_DC"
"46",5335609,208.9,459.7,600,1746541460642,19,6,"sentence_DC"
"47",5335610,208.9,459.9,601,1746541460643,19,6,"sentence_DC"
"48",5335611,208.5,459.9,602,1746541460644,19,6,"sentence_DC"
"49",5335612,208,459.9,602,1746541460645,19,6,"sentence_DC"
"50",5335613,207.8,459.8,603,1746541460646,19,6,"sentence_DC"
