"","el_time","x","y","pupil","Unix_time","subject","item","task"
"1",12403028,1394.5,956.8,560,1739460906473,11,14,"sentence_DC"
"2",12403029,1394.2,957,560,1739460906474,11,14,"sentence_DC"
"3",12403030,1394,956.9,560,1739460906475,11,14,"sentence_DC"
"4",12403031,1393.9,956.9,560,1739460906476,11,14,"sentence_DC"
"5",12403032,1393.8,956.7,559,1739460906477,11,14,"sentence_DC"
"6",12403033,1393.7,956.6,558,1739460906478,11,14,"sentence_DC"
"7",12403034,1393.7,956.5,558,1739460906479,11,14,"sentence_DC"
"8",12403035,1393.8,956.3,559,1739460906480,11,14,"sentence_DC"
"9",12403036,1393.9,955.8,561,1739460906481,11,14,"sentence_DC"
"10",12403037,1394,955.2,560,1739460906482,11,14,"sentence_DC"
"11",12403038,1394.1,955,560,1739460906483,11,14,"sentence_DC"
"12",12403039,1394.5,955.1,560,1739460906484,11,14,"sentence_DC"
"13",12403040,1394.9,955.2,560,1739460906485,11,14,"sentence_DC"
"14",12403041,1394.8,955.1,561,1739460906486,11,14,"sentence_DC"
"15",12403042,1394.4,954.9,562,1739460906487,11,14,"sentence_DC"
"16",12403043,1394,954.8,562,1739460906488,11,14,"sentence_DC"
"17",12403044,1394,954.7,561,1739460906489,11,14,"sentence_DC"
"18",12403045,1394,954.6,561,1739460906490,11,14,"sentence_DC"
"19",12403046,1394,954.3,562,1739460906491,11,14,"sentence_DC"
"20",12403047,1394,953.8,562,1739460906492,11,14,"sentence_DC"
"21",12403048,1394.4,953.2,561,1739460906493,11,14,"sentence_DC"
"22",12403049,1394.8,952.9,561,1739460906494,11,14,"sentence_DC"
"23",12403050,1395.1,953.1,561,1739460906495,11,14,"sentence_DC"
"24",12403051,1395.1,953.4,561,1739460906496,11,14,"sentence_DC"
"25",12403052,1395.1,953.7,561,1739460906497,11,14,"sentence_DC"
"26",12403053,1395,953.8,561,1739460906498,11,14,"sentence_DC"
"27",12403054,1394.9,954.2,562,1739460906499,11,14,"sentence_DC"
"28",12403055,1394.6,955,561,1739460906500,11,14,"sentence_DC"
"29",12403056,1394.2,955.8,560,1739460906501,11,14,"sentence_DC"
"30",12403057,1393.9,955.7,560,1739460906502,11,14,"sentence_DC"
"31",12403058,1393.7,955.1,560,1739460906503,11,14,"sentence_DC"
"32",12403059,1393.6,954.5,560,1739460906504,11,14,"sentence_DC"
"33",12403060,1393.5,954.3,560,1739460906505,11,14,"sentence_DC"
"34",12403061,1393.6,954.2,561,1739460906506,11,14,"sentence_DC"
"35",12403062,1393.6,954.3,561,1739460906507,11,14,"sentence_DC"
"36",12403063,1393.6,954.5,562,1739460906508,11,14,"sentence_DC"
"37",12403064,1393.4,954.6,563,1739460906509,11,14,"sentence_DC"
