"","el_time","x","y","pupil","Unix_time","subject","item","task"
"1",1749917,176.2,440.7,634,1747139399216,22,39,"sentence_DC"
"2",1749918,176.3,440.7,635,1747139399217,22,39,"sentence_DC"
"3",1749919,176.9,440.8,635,1747139399218,22,39,"sentence_DC"
"4",1749920,177.5,441,635,1747139399219,22,39,"sentence_DC"
"5",1749921,177.3,440.8,635,1747139399220,22,39,"sentence_DC"
"6",1749922,176.8,440.5,635,1747139399221,22,39,"sentence_DC"
"7",1749923,176.3,440.6,635,1747139399222,22,39,"sentence_DC"
"8",1749924,176.3,440.9,636,1747139399223,22,39,"sentence_DC"
"9",1749925,176.3,440.5,637,1747139399224,22,39,"sentence_DC"
"10",1749926,176.5,439.9,637,1747139399225,22,39,"sentence_DC"
"11",1749927,176.6,439.9,636,1747139399226,22,39,"sentence_DC"
"12",1749928,176.4,440.5,635,1747139399227,22,39,"sentence_DC"
"13",1749929,176.5,440.8,636,1747139399228,22,39,"sentence_DC"
"14",1749930,176.8,440.4,637,1747139399229,22,39,"sentence_DC"
"15",1749931,177.2,440,636,1747139399230,22,39,"sentence_DC"
"16",1749932,177.2,439.8,636,1747139399231,22,39,"sentence_DC"
"17",1749933,177.1,439.6,636,1747139399232,22,39,"sentence_DC"
"18",1749934,177,439.4,636,1747139399233,22,39,"sentence_DC"
"19",1749935,177,439.5,636,1747139399234,22,39,"sentence_DC"
"20",1749936,177,439.7,636,1747139399235,22,39,"sentence_DC"
"21",1749937,177,439.9,636,1747139399236,22,39,"sentence_DC"
"22",1749938,177,440.2,636,1747139399237,22,39,"sentence_DC"
"23",1749939,177,440.5,637,1747139399238,22,39,"sentence_DC"
"24",1749940,177,440.7,638,1747139399239,22,39,"sentence_DC"
"25",1749941,177,440.7,638,1747139399240,22,39,"sentence_DC"
"26",1749942,176.9,440.9,638,1747139399241,22,39,"sentence_DC"
"27",1749943,177.2,441.2,638,1747139399242,22,39,"sentence_DC"
"28",1749944,177.4,441.4,638,1747139399243,22,39,"sentence_DC"
"29",1749945,177.6,441.4,637,1747139399244,22,39,"sentence_DC"
"30",1749946,177.6,441.4,637,1747139399245,22,39,"sentence_DC"
"31",1749947,177.5,441.5,638,1747139399246,22,39,"sentence_DC"
"32",1749948,177.4,441.6,638,1747139399247,22,39,"sentence_DC"
"33",1749949,177.4,441.7,637,1747139399248,22,39,"sentence_DC"
"34",1749950,177.5,441.7,636,1747139399249,22,39,"sentence_DC"
"35",1749951,177.5,441.6,636,1747139399250,22,39,"sentence_DC"
"36",1749952,177.5,441.4,637,1747139399251,22,39,"sentence_DC"
"37",1749953,177.6,441.3,639,1747139399252,22,39,"sentence_DC"
"38",1749954,177.8,441,640,1747139399253,22,39,"sentence_DC"
"39",1749955,177.9,440.9,640,1747139399254,22,39,"sentence_DC"
"40",1749956,177.8,440.9,640,1747139399255,22,39,"sentence_DC"
"41",1749957,177.5,441.3,639,1747139399256,22,39,"sentence_DC"
"42",1749958,177.3,441.6,638,1747139399257,22,39,"sentence_DC"
"43",1749959,177.4,441.8,639,1747139399258,22,39,"sentence_DC"
"44",1749960,177.6,441.7,640,1747139399259,22,39,"sentence_DC"
"45",1749961,177.8,441.4,641,1747139399260,22,39,"sentence_DC"
"46",1749962,177.8,441.1,642,1747139399261,22,39,"sentence_DC"
"47",1749963,177.8,440.9,642,1747139399262,22,39,"sentence_DC"
"48",1749964,177.8,440.9,642,1747139399263,22,39,"sentence_DC"
"49",1749965,177.8,441,642,1747139399264,22,39,"sentence_DC"
"50",1749966,177.8,441.1,640,1747139399265,22,39,"sentence_DC"
"51",1749967,177.8,441.2,639,1747139399266,22,39,"sentence_DC"
"52",1749968,177.9,441.2,638,1747139399267,22,39,"sentence_DC"
"53",1749969,177.7,440.9,639,1747139399268,22,39,"sentence_DC"
"54",1749970,177.6,440.7,639,1747139399269,22,39,"sentence_DC"
"55",1749971,177.3,440.6,639,1747139399270,22,39,"sentence_DC"
"56",1749972,177.5,440.9,639,1747139399271,22,39,"sentence_DC"
"57",1749973,177.7,441.2,639,1747139399272,22,39,"sentence_DC"
"58",1749974,178.1,441.2,639,1747139399273,22,39,"sentence_DC"
"59",1749975,178.3,441.2,640,1747139399274,22,39,"sentence_DC"
"60",1749976,178.4,441,641,1747139399275,22,39,"sentence_DC"
"61",1749977,178.5,440.6,642,1747139399276,22,39,"sentence_DC"
"62",1749978,178.6,440.2,643,1747139399277,22,39,"sentence_DC"
"63",1749979,178.6,440.1,643,1747139399278,22,39,"sentence_DC"
"64",1749980,178.6,440,643,1747139399279,22,39,"sentence_DC"
"65",1749981,178.4,440,643,1747139399280,22,39,"sentence_DC"
"66",1749982,178.4,440,643,1747139399281,22,39,"sentence_DC"
"67",1749983,178.4,439.9,644,1747139399282,22,39,"sentence_DC"
"68",1749984,178.9,440,644,1747139399283,22,39,"sentence_DC"
"69",1749985,179.3,440,644,1747139399284,22,39,"sentence_DC"
"70",1749986,179.6,440.4,643,1747139399285,22,39,"sentence_DC"
"71",1749987,179.5,440.7,642,1747139399286,22,39,"sentence_DC"
"72",1749988,179.3,441,642,1747139399287,22,39,"sentence_DC"
"73",1749989,179.2,441,642,1747139399288,22,39,"sentence_DC"
"74",1749990,179.1,441,643,1747139399289,22,39,"sentence_DC"
"75",1749991,179.2,441,643,1747139399290,22,39,"sentence_DC"
"76",1749992,179.3,441.1,643,1747139399291,22,39,"sentence_DC"
"77",1749993,179.3,441.3,643,1747139399292,22,39,"sentence_DC"
"78",1749994,179.4,441.6,643,1747139399293,22,39,"sentence_DC"
"79",1749995,179.3,441.6,642,1747139399294,22,39,"sentence_DC"
"80",1749996,178.9,441.6,642,1747139399295,22,39,"sentence_DC"
"81",1749997,178.6,441.7,642,1747139399296,22,39,"sentence_DC"
"82",1749998,178.4,441.7,641,1747139399297,22,39,"sentence_DC"
"83",1749999,178.4,441.6,641,1747139399298,22,39,"sentence_DC"
"84",1750000,178.4,441.5,641,1747139399299,22,39,"sentence_DC"
"85",1750001,178.2,441.5,642,1747139399300,22,39,"sentence_DC"
"86",1750002,178.1,441.7,643,1747139399301,22,39,"sentence_DC"
"87",1750003,178,441.8,643,1747139399302,22,39,"sentence_DC"
"88",1750004,178,441.6,644,1747139399303,22,39,"sentence_DC"
"89",1750005,178,441.3,644,1747139399304,22,39,"sentence_DC"
"90",1750006,178.2,441.1,644,1747139399305,22,39,"sentence_DC"
"91",1750007,178.4,441.2,643,1747139399306,22,39,"sentence_DC"
"92",1750008,178.7,441.5,642,1747139399307,22,39,"sentence_DC"
"93",1750009,178.9,441.7,642,1747139399308,22,39,"sentence_DC"
"94",1750010,179.2,442,643,1747139399309,22,39,"sentence_DC"
"95",1750011,179.5,442.1,644,1747139399310,22,39,"sentence_DC"
"96",1750012,179.9,442.2,643,1747139399311,22,39,"sentence_DC"
"97",1750013,180,442.1,642,1747139399312,22,39,"sentence_DC"
"98",1750014,180,442,640,1747139399313,22,39,"sentence_DC"
"99",1750015,180,442.1,640,1747139399314,22,39,"sentence_DC"
"100",1750016,180.2,442.3,639,1747139399315,22,39,"sentence_DC"
"101",1750017,180.3,442.5,639,1747139399316,22,39,"sentence_DC"
"102",1750018,180.4,442.5,640,1747139399317,22,39,"sentence_DC"
