"","el_time","x","y","pupil","Unix_time","subject","item","task"
"1",7156518,1240.4,920,834,1745421204713,13,21,"sentence_DC"
"2",7156519,1240.2,920,833,1745421204714,13,21,"sentence_DC"
"3",7156520,1240,919.9,833,1745421204715,13,21,"sentence_DC"
"4",7156521,1240,919.8,833,1745421204716,13,21,"sentence_DC"
"5",7156522,1240.3,919.7,834,1745421204717,13,21,"sentence_DC"
"6",7156523,1240.5,919.6,835,1745421204718,13,21,"sentence_DC"
"7",7156524,1240.6,919.5,836,1745421204719,13,21,"sentence_DC"
"8",7156525,1240.5,919.6,835,1745421204720,13,21,"sentence_DC"
"9",7156526,1240.4,919.8,835,1745421204721,13,21,"sentence_DC"
"10",7156527,1240.2,920.1,835,1745421204722,13,21,"sentence_DC"
"11",7156528,1240.1,920.1,835,1745421204723,13,21,"sentence_DC"
"12",7156529,1240,919.8,836,1745421204724,13,21,"sentence_DC"
"13",7156530,1239.8,919.5,836,1745421204725,13,21,"sentence_DC"
"14",7156531,1239.4,919.2,836,1745421204726,13,21,"sentence_DC"
"15",7156532,1239.1,919.1,835,1745421204727,13,21,"sentence_DC"
"16",7156533,1238.5,919.2,835,1745421204728,13,21,"sentence_DC"
"17",7156534,1238.3,919.2,836,1745421204729,13,21,"sentence_DC"
"18",7156535,1238.4,919.3,837,1745421204730,13,21,"sentence_DC"
"19",7156536,1238.7,919.3,837,1745421204731,13,21,"sentence_DC"
"20",7156537,1238.9,919.1,836,1745421204732,13,21,"sentence_DC"
"21",7156538,1238.8,919,835,1745421204733,13,21,"sentence_DC"
"22",7156539,1238.6,918.9,835,1745421204734,13,21,"sentence_DC"
"23",7156540,1238.6,919.1,836,1745421204735,13,21,"sentence_DC"
"24",7156541,1238.6,918.9,837,1745421204736,13,21,"sentence_DC"
"25",7156542,1239,918.7,837,1745421204737,13,21,"sentence_DC"
"26",7156543,1239.3,918.5,837,1745421204738,13,21,"sentence_DC"
"27",7156544,1239.7,918.5,836,1745421204739,13,21,"sentence_DC"
"28",7156545,1239.6,917.9,837,1745421204740,13,21,"sentence_DC"
"29",7156546,1239.7,917,838,1745421204741,13,21,"sentence_DC"
"30",7156547,1239.6,915.9,838,1745421204742,13,21,"sentence_DC"
"31",7156548,1239.2,915.4,836,1745421204743,13,21,"sentence_DC"
"32",7156549,1238.9,915.4,835,1745421204744,13,21,"sentence_DC"
"33",7156550,1238.4,915.8,835,1745421204745,13,21,"sentence_DC"
"34",7156551,1237.9,915.9,836,1745421204746,13,21,"sentence_DC"
"35",7156552,1238,915.7,837,1745421204747,13,21,"sentence_DC"
"36",7156553,1238.4,915.3,837,1745421204748,13,21,"sentence_DC"
"37",7156554,1238.7,915,835,1745421204749,13,21,"sentence_DC"
"38",7156555,1238.5,914.8,832,1745421204750,13,21,"sentence_DC"
"39",7156556,1238.4,914.4,830,1745421204751,13,21,"sentence_DC"
"40",7156557,1238.3,914,829,1745421204752,13,21,"sentence_DC"
"41",7156558,1238.2,913.6,828,1745421204753,13,21,"sentence_DC"
"42",7156559,1238.1,913.9,829,1745421204754,13,21,"sentence_DC"
"43",7156560,1238.1,914.3,830,1745421204755,13,21,"sentence_DC"
"44",7156561,1237.9,914.5,831,1745421204756,13,21,"sentence_DC"
"45",7156562,1237.6,914.7,832,1745421204757,13,21,"sentence_DC"
"46",7156563,1237.5,914.8,833,1745421204758,13,21,"sentence_DC"
"47",7156564,1237.4,914.7,834,1745421204759,13,21,"sentence_DC"
"48",7156565,1237.2,914.4,834,1745421204760,13,21,"sentence_DC"
"49",7156566,1237,914.1,835,1745421204761,13,21,"sentence_DC"
"50",7156567,1236.9,914.1,835,1745421204762,13,21,"sentence_DC"
"51",7156568,1236.8,913.6,834,1745421204763,13,21,"sentence_DC"
"52",7156569,1236.9,913.3,834,1745421204764,13,21,"sentence_DC"
"53",7156570,1237.1,913.2,834,1745421204765,13,21,"sentence_DC"
"54",7156571,1237.1,913.5,834,1745421204766,13,21,"sentence_DC"
"55",7156572,1237.2,913.7,833,1745421204767,13,21,"sentence_DC"
"56",7156573,1237.6,913.8,833,1745421204768,13,21,"sentence_DC"
"57",7156574,1238,913.1,833,1745421204769,13,21,"sentence_DC"
"58",7156575,1238.2,912.3,834,1745421204770,13,21,"sentence_DC"
"59",7156576,1238.1,911.4,831,1745421204771,13,21,"sentence_DC"
"60",7156577,1238,911.3,829,1745421204772,13,21,"sentence_DC"
"61",7156578,1238,911,826,1745421204773,13,21,"sentence_DC"
"62",7156579,1237.7,910.9,826,1745421204774,13,21,"sentence_DC"
"63",7156580,1237.5,911.6,827,1745421204775,13,21,"sentence_DC"
"64",7156581,1237.2,912.3,829,1745421204776,13,21,"sentence_DC"
"65",7156582,1237.2,912.6,829,1745421204777,13,21,"sentence_DC"
"66",7156583,1237.2,912.2,829,1745421204778,13,21,"sentence_DC"
"67",7156584,1237.3,911.8,827,1745421204779,13,21,"sentence_DC"
"68",7156585,1237.3,911.6,826,1745421204780,13,21,"sentence_DC"
"69",7156586,1237.4,911.3,824,1745421204781,13,21,"sentence_DC"
"70",7156587,1237.6,911.2,824,1745421204782,13,21,"sentence_DC"
"71",7156588,1237.9,911.2,823,1745421204783,13,21,"sentence_DC"
"72",7156589,1238.2,910.8,823,1745421204784,13,21,"sentence_DC"
"73",7156590,1238.2,910.4,823,1745421204785,13,21,"sentence_DC"
"74",7156591,1238.3,910.1,823,1745421204786,13,21,"sentence_DC"
"75",7156592,1238.3,910.1,823,1745421204787,13,21,"sentence_DC"
"76",7156593,1238.3,910.1,824,1745421204788,13,21,"sentence_DC"
"77",7156594,1238.1,910.1,825,1745421204789,13,21,"sentence_DC"
"78",7156595,1238,910.1,826,1745421204790,13,21,"sentence_DC"
"79",7156596,1237.7,910.2,826,1745421204791,13,21,"sentence_DC"
"80",7156597,1237.5,910.1,826,1745421204792,13,21,"sentence_DC"
"81",7156598,1237.3,910,827,1745421204793,13,21,"sentence_DC"
"82",7156599,1237.2,909.9,829,1745421204794,13,21,"sentence_DC"
"83",7156600,1237.2,909.8,829,1745421204795,13,21,"sentence_DC"
"84",7156601,1237.2,909.6,829,1745421204796,13,21,"sentence_DC"
"85",7156602,1237.1,909.5,828,1745421204797,13,21,"sentence_DC"
"86",7156603,1237.1,908.7,828,1745421204798,13,21,"sentence_DC"
"87",7156604,1237.1,907.9,828,1745421204799,13,21,"sentence_DC"
"88",7156605,1237.4,907.2,828,1745421204800,13,21,"sentence_DC"
"89",7156606,1237.6,907.2,828,1745421204801,13,21,"sentence_DC"
"90",7156607,1237.8,907.3,827,1745421204802,13,21,"sentence_DC"
"91",7156608,1237.9,907.4,826,1745421204803,13,21,"sentence_DC"
"92",7156609,1237.9,907.9,825,1745421204804,13,21,"sentence_DC"
"93",7156610,1237.7,908.4,825,1745421204805,13,21,"sentence_DC"
"94",7156611,1237.5,908.9,825,1745421204806,13,21,"sentence_DC"
