"","el_time","x","y","pupil","Unix_time","subject","item","task"
"1",1538667,322.5,447.7,545,1748942528444,33,17,"sentence_DC"
"2",1538668,321.9,447.6,546,1748942528445,33,17,"sentence_DC"
"3",1538669,321.4,447.5,546,1748942528446,33,17,"sentence_DC"
"4",1538670,320.8,447.6,546,1748942528447,33,17,"sentence_DC"
"5",1538671,320.7,447.8,545,1748942528448,33,17,"sentence_DC"
"6",1538672,320.7,447.9,545,1748942528449,33,17,"sentence_DC"
"7",1538673,320,447.5,544,1748942528450,33,17,"sentence_DC"
"8",1538674,318.6,446.9,544,1748942528451,33,17,"sentence_DC"
"9",1538675,316.9,446.5,544,1748942528452,33,17,"sentence_DC"
"10",1538676,316,446.5,543,1748942528453,33,17,"sentence_DC"
"11",1538677,315.8,446.7,543,1748942528454,33,17,"sentence_DC"
"12",1538678,315.2,447.4,543,1748942528455,33,17,"sentence_DC"
"13",1538679,314.5,448.1,543,1748942528456,33,17,"sentence_DC"
"14",1538680,313.8,448.2,544,1748942528457,33,17,"sentence_DC"
"15",1538681,313.8,447.6,544,1748942528458,33,17,"sentence_DC"
"16",1538682,313.8,447,544,1748942528459,33,17,"sentence_DC"
"17",1538683,313.6,447.1,544,1748942528460,33,17,"sentence_DC"
"18",1538684,313.4,447.2,544,1748942528461,33,17,"sentence_DC"
"19",1538685,313.3,447.3,543,1748942528462,33,17,"sentence_DC"
"20",1538686,313.2,447.2,543,1748942528463,33,17,"sentence_DC"
"21",1538687,313.1,447.1,543,1748942528464,33,17,"sentence_DC"
"22",1538688,312.3,446.9,543,1748942528465,33,17,"sentence_DC"
"23",1538689,311.5,446.4,544,1748942528466,33,17,"sentence_DC"
"24",1538690,310.9,446.1,543,1748942528467,33,17,"sentence_DC"
"25",1538691,310.9,445.9,543,1748942528468,33,17,"sentence_DC"
"26",1538692,310.8,446,541,1748942528469,33,17,"sentence_DC"
"27",1538693,310.7,446,540,1748942528470,33,17,"sentence_DC"
"28",1538694,310.1,445.8,540,1748942528471,33,17,"sentence_DC"
"29",1538695,309.5,445.6,540,1748942528472,33,17,"sentence_DC"
"30",1538696,309,446,541,1748942528473,33,17,"sentence_DC"
"31",1538697,308.8,446.4,541,1748942528474,33,17,"sentence_DC"
"32",1538698,308.7,446.1,541,1748942528475,33,17,"sentence_DC"
"33",1538699,308.6,445.2,541,1748942528476,33,17,"sentence_DC"
"34",1538700,308.8,443.8,541,1748942528477,33,17,"sentence_DC"
"35",1538701,308.8,443.1,540,1748942528478,33,17,"sentence_DC"
"36",1538702,308.7,442.6,539,1748942528479,33,17,"sentence_DC"
"37",1538703,308.5,442.7,538,1748942528480,33,17,"sentence_DC"
"38",1538704,308.2,443.6,538,1748942528481,33,17,"sentence_DC"
"39",1538705,308,444.4,539,1748942528482,33,17,"sentence_DC"
"40",1538706,307.6,445.1,540,1748942528483,33,17,"sentence_DC"
"41",1538707,307.2,445.1,540,1748942528484,33,17,"sentence_DC"
"42",1538708,306.4,445.3,540,1748942528485,33,17,"sentence_DC"
"43",1538709,305.6,445.5,541,1748942528486,33,17,"sentence_DC"
"44",1538710,303.4,445.3,542,1748942528487,33,17,"sentence_DC"
"45",1538711,301,444.4,544,1748942528488,33,17,"sentence_DC"
"46",1538712,297.7,443.4,544,1748942528489,33,17,"sentence_DC"
"47",1538713,294.7,442.6,543,1748942528490,33,17,"sentence_DC"
"48",1538714,289,441.3,543,1748942528491,33,17,"sentence_DC"
"49",1538715,281.9,439.6,542,1748942528492,33,17,"sentence_DC"
"50",1538716,274.2,437.9,541,1748942528493,33,17,"sentence_DC"
"51",1538717,265.9,436.1,541,1748942528494,33,17,"sentence_DC"
"52",1538718,257.3,433.9,542,1748942528495,33,17,"sentence_DC"
"53",1538719,247.1,430.8,543,1748942528496,33,17,"sentence_DC"
"54",1538720,237.3,427.6,544,1748942528497,33,17,"sentence_DC"
"55",1538721,227.1,425,544,1748942528498,33,17,"sentence_DC"
"56",1538722,216.6,422.7,543,1748942528499,33,17,"sentence_DC"
"57",1538723,205.9,421,542,1748942528500,33,17,"sentence_DC"
"58",1538724,196.3,419.3,542,1748942528501,33,17,"sentence_DC"
"59",1538725,188.4,417.8,542,1748942528502,33,17,"sentence_DC"
"60",1538726,182.4,416.1,542,1748942528503,33,17,"sentence_DC"
"61",1538727,177.3,415.1,541,1748942528504,33,17,"sentence_DC"
"62",1538728,173.4,414.4,541,1748942528505,33,17,"sentence_DC"
"63",1538729,169.8,413.8,541,1748942528506,33,17,"sentence_DC"
"64",1538730,165.9,411.8,541,1748942528507,33,17,"sentence_DC"
"65",1538731,162.9,410,540,1748942528508,33,17,"sentence_DC"
"66",1538732,159.2,409.2,540,1748942528509,33,17,"sentence_DC"
"67",1538733,156.1,409.6,538,1748942528510,33,17,"sentence_DC"
"68",1538734,152.3,409.7,537,1748942528511,33,17,"sentence_DC"
"69",1538735,149.9,409.2,537,1748942528512,33,17,"sentence_DC"
"70",1538736,147.9,409.6,537,1748942528513,33,17,"sentence_DC"
"71",1538737,146.4,410.3,537,1748942528514,33,17,"sentence_DC"
"72",1538738,145.9,411.3,537,1748942528515,33,17,"sentence_DC"
"73",1538739,145.6,411.7,536,1748942528516,33,17,"sentence_DC"
"74",1538740,145.2,412.9,535,1748942528517,33,17,"sentence_DC"
"75",1538741,144.8,415,534,1748942528518,33,17,"sentence_DC"
"76",1538742,144.3,416.6,534,1748942528519,33,17,"sentence_DC"
"77",1538743,144.1,417.7,535,1748942528520,33,17,"sentence_DC"
"78",1538744,144.8,418.1,536,1748942528521,33,17,"sentence_DC"
"79",1538745,146.2,418.6,537,1748942528522,33,17,"sentence_DC"
"80",1538746,147.5,418.9,537,1748942528523,33,17,"sentence_DC"
"81",1538747,148.7,419,537,1748942528524,33,17,"sentence_DC"
"82",1538748,149.3,419,537,1748942528525,33,17,"sentence_DC"
"83",1538749,150,418.7,537,1748942528526,33,17,"sentence_DC"
"84",1538750,150.6,418.2,537,1748942528527,33,17,"sentence_DC"
"85",1538751,151.1,417.8,536,1748942528528,33,17,"sentence_DC"
"86",1538752,151.7,417.8,535,1748942528529,33,17,"sentence_DC"
"87",1538753,151.9,417.5,534,1748942528530,33,17,"sentence_DC"
"88",1538754,151.3,417,534,1748942528531,33,17,"sentence_DC"
"89",1538755,150.3,416.4,535,1748942528532,33,17,"sentence_DC"
"90",1538756,148.5,416,537,1748942528533,33,17,"sentence_DC"
"91",1538757,147,415.7,538,1748942528534,33,17,"sentence_DC"
"92",1538758,145.9,415.5,537,1748942528535,33,17,"sentence_DC"
"93",1538759,145.1,415.1,536,1748942528536,33,17,"sentence_DC"
"94",1538760,144.8,415,535,1748942528537,33,17,"sentence_DC"
"95",1538761,144,414.7,535,1748942528538,33,17,"sentence_DC"
"96",1538762,143.4,414.3,536,1748942528539,33,17,"sentence_DC"
"97",1538763,142.7,413.7,537,1748942528540,33,17,"sentence_DC"
"98",1538764,142.2,413.4,538,1748942528541,33,17,"sentence_DC"
"99",1538765,141.7,412.6,538,1748942528542,33,17,"sentence_DC"
"100",1538766,141.2,412.1,538,1748942528543,33,17,"sentence_DC"
"101",1538767,140.8,411.8,538,1748942528544,33,17,"sentence_DC"
"102",1538768,140.9,411.2,538,1748942528545,33,17,"sentence_DC"
"103",1538769,140.7,410.3,538,1748942528546,33,17,"sentence_DC"
"104",1538770,140.5,410.2,538,1748942528547,33,17,"sentence_DC"
