"","el_time","x","y","pupil","Unix_time","subject","item","task"
"1",2138763,141.2,496.6,1305,1747743278784,27,29,"sentence_DC"
"2",2138764,141.2,496.4,1305,1747743278785,27,29,"sentence_DC"
"3",2138765,141,496.3,1304,1747743278786,27,29,"sentence_DC"
"4",2138766,140.9,496.2,1304,1747743278787,27,29,"sentence_DC"
"5",2138767,140.8,496.1,1304,1747743278788,27,29,"sentence_DC"
"6",2138768,140.9,496.2,1304,1747743278789,27,29,"sentence_DC"
"7",2138769,141.1,496.3,1305,1747743278790,27,29,"sentence_DC"
"8",2138770,141.2,496.5,1306,1747743278791,27,29,"sentence_DC"
"9",2138771,141.2,496.6,1308,1747743278792,27,29,"sentence_DC"
"10",2138772,141.2,496.6,1308,1747743278793,27,29,"sentence_DC"
"11",2138773,141.2,496.5,1308,1747743278794,27,29,"sentence_DC"
"12",2138774,141.3,496.4,1307,1747743278795,27,29,"sentence_DC"
"13",2138775,141.4,496.3,1307,1747743278796,27,29,"sentence_DC"
"14",2138776,141.2,496.1,1306,1747743278797,27,29,"sentence_DC"
"15",2138777,141,496,1309,1747743278798,27,29,"sentence_DC"
"16",2138778,140.7,496.3,1312,1747743278799,27,29,"sentence_DC"
"17",2138779,140.7,496.7,1314,1747743278800,27,29,"sentence_DC"
"18",2138780,140.6,496.8,1314,1747743278801,27,29,"sentence_DC"
"19",2138781,140.5,496.5,1314,1747743278802,27,29,"sentence_DC"
"20",2138782,140.3,496.1,1314,1747743278803,27,29,"sentence_DC"
"21",2138783,140.2,495.9,1314,1747743278804,27,29,"sentence_DC"
"22",2138784,140.1,495.7,1314,1747743278805,27,29,"sentence_DC"
"23",2138785,140.3,496.2,1314,1747743278806,27,29,"sentence_DC"
"24",2138786,140.5,496.7,1313,1747743278807,27,29,"sentence_DC"
"25",2138787,140.7,497.1,1313,1747743278808,27,29,"sentence_DC"
"26",2138788,141.3,497.1,1314,1747743278809,27,29,"sentence_DC"
"27",2138789,141.9,497.2,1317,1747743278810,27,29,"sentence_DC"
"28",2138790,142.3,497.4,1320,1747743278811,27,29,"sentence_DC"
"29",2138791,142,497.3,1321,1747743278812,27,29,"sentence_DC"
"30",2138792,141.5,497.1,1322,1747743278813,27,29,"sentence_DC"
"31",2138793,141.1,496.8,1324,1747743278814,27,29,"sentence_DC"
"32",2138794,140.9,496.6,1325,1747743278815,27,29,"sentence_DC"
"33",2138795,140.8,496.5,1325,1747743278816,27,29,"sentence_DC"
"34",2138796,140.7,496.5,1323,1747743278817,27,29,"sentence_DC"
"35",2138797,140.4,496.5,1319,1747743278818,27,29,"sentence_DC"
"36",2138798,140.3,496.5,1316,1747743278819,27,29,"sentence_DC"
"37",2138799,140.5,496.6,1317,1747743278820,27,29,"sentence_DC"
"38",2138800,141.1,496.6,1319,1747743278821,27,29,"sentence_DC"
"39",2138801,140.5,496.5,1321,1747743278822,27,29,"sentence_DC"
"40",2138802,139.6,496.3,1320,1747743278823,27,29,"sentence_DC"
"41",2138803,139.6,496.5,1322,1747743278824,27,29,"sentence_DC"
"42",2138804,140.5,496.8,1322,1747743278825,27,29,"sentence_DC"
"43",2138805,141.4,497.2,1324,1747743278826,27,29,"sentence_DC"
"44",2138806,141.3,497.3,1325,1747743278827,27,29,"sentence_DC"
"45",2138807,141.1,497.3,1325,1747743278828,27,29,"sentence_DC"
"46",2138808,141.1,497.3,1325,1747743278829,27,29,"sentence_DC"
"47",2138809,141,497.2,1326,1747743278830,27,29,"sentence_DC"
"48",2138810,141.1,497,1326,1747743278831,27,29,"sentence_DC"
"49",2138811,141,496.9,1326,1747743278832,27,29,"sentence_DC"
"50",2138812,140.9,496.5,1326,1747743278833,27,29,"sentence_DC"
"51",2138813,140.8,496,1328,1747743278834,27,29,"sentence_DC"
"52",2138814,140.7,496.4,1329,1747743278835,27,29,"sentence_DC"
"53",2138815,140.8,497.2,1329,1747743278836,27,29,"sentence_DC"
"54",2138816,140.9,498.3,1329,1747743278837,27,29,"sentence_DC"
"55",2138817,141.1,498.7,1328,1747743278838,27,29,"sentence_DC"
"56",2138818,141,499.2,1328,1747743278839,27,29,"sentence_DC"
