"","el_time","x","y","pupil","Unix_time","subject","item","task"
"1",4719588,130.6,476.5,1018,1748945709338,34,24,"sentence_DC"
"2",4719589,130.6,476.1,1017,1748945709339,34,24,"sentence_DC"
"3",4719590,130.6,475.6,1017,1748945709340,34,24,"sentence_DC"
"4",4719591,130.6,475.5,1017,1748945709341,34,24,"sentence_DC"
"5",4719592,130.5,475.6,1018,1748945709342,34,24,"sentence_DC"
"6",4719593,130.4,475.9,1018,1748945709343,34,24,"sentence_DC"
"7",4719594,130.2,476.4,1020,1748945709344,34,24,"sentence_DC"
"8",4719595,130,476.8,1021,1748945709345,34,24,"sentence_DC"
"9",4719596,129.9,477.4,1022,1748945709346,34,24,"sentence_DC"
"10",4719597,129.6,477.7,1022,1748945709347,34,24,"sentence_DC"
"11",4719598,129.3,477.8,1021,1748945709348,34,24,"sentence_DC"
"12",4719599,129.1,477.7,1021,1748945709349,34,24,"sentence_DC"
"13",4719600,129.1,477.8,1020,1748945709350,34,24,"sentence_DC"
"14",4719601,129.2,477.8,1020,1748945709351,34,24,"sentence_DC"
"15",4719602,129.3,477.4,1020,1748945709352,34,24,"sentence_DC"
"16",4719603,129.9,477,1019,1748945709353,34,24,"sentence_DC"
"17",4719604,130.4,476.3,1019,1748945709354,34,24,"sentence_DC"
"18",4719605,130.8,476.2,1019,1748945709355,34,24,"sentence_DC"
"19",4719606,130.6,476.5,1020,1748945709356,34,24,"sentence_DC"
"20",4719607,130.6,476.9,1020,1748945709357,34,24,"sentence_DC"
"21",4719608,130.6,477.4,1020,1748945709358,34,24,"sentence_DC"
"22",4719609,131.2,477.7,1021,1748945709359,34,24,"sentence_DC"
"23",4719610,131.7,478.1,1022,1748945709360,34,24,"sentence_DC"
"24",4719611,131.9,478.4,1022,1748945709361,34,24,"sentence_DC"
"25",4719612,131.9,478.6,1023,1748945709362,34,24,"sentence_DC"
"26",4719613,132,479.2,1023,1748945709363,34,24,"sentence_DC"
"27",4719614,132.2,480,1024,1748945709364,34,24,"sentence_DC"
"28",4719615,132.3,480.7,1025,1748945709365,34,24,"sentence_DC"
"29",4719616,132,480.6,1024,1748945709366,34,24,"sentence_DC"
"30",4719617,131.7,480.4,1023,1748945709367,34,24,"sentence_DC"
"31",4719618,131.3,480.2,1024,1748945709368,34,24,"sentence_DC"
"32",4719619,131.6,480,1025,1748945709369,34,24,"sentence_DC"
"33",4719620,131.7,479.7,1025,1748945709370,34,24,"sentence_DC"
"34",4719621,131.9,479.4,1022,1748945709371,34,24,"sentence_DC"
