"","el_time","x","y","pupil","Unix_time","subject","item","task"
"1",4112101,161.4,502.3,811,1748344588014,29,31,"sentence_DC"
"2",4112102,162.8,501.9,810,1748344588015,29,31,"sentence_DC"
"3",4112103,164.1,501.3,811,1748344588016,29,31,"sentence_DC"
"4",4112104,165,499.4,812,1748344588017,29,31,"sentence_DC"
"5",4112105,165.9,496.7,814,1748344588018,29,31,"sentence_DC"
"6",4112106,164,493.2,812,1748344588019,29,31,"sentence_DC"
"7",4112107,161.7,488.2,809,1748344588020,29,31,"sentence_DC"
"8",4112108,159,484.7,805,1748344588021,29,31,"sentence_DC"
"9",4112109,156.9,493.4,790,1748344588022,29,31,"sentence_DC"
"10",4112110,153.2,517.2,761,1748344588023,29,31,"sentence_DC"
"11",4112111,148.6,556.7,712,1748344588024,29,31,"sentence_DC"
"12",4112112,146.1,604.9,658,1748344588025,29,31,"sentence_DC"
"13",4112113,141.4,659.9,596,1748344588026,29,31,"sentence_DC"
"14",4112114,135.3,721.8,527,1748344588027,29,31,"sentence_DC"
"15",4112115,128.8,786,450,1748344588028,29,31,"sentence_DC"
"16",4112116,115.7,857.1,368,1748344588029,29,31,"sentence_DC"
"17",4112117,104.5,905.7,314,1748344588030,29,31,"sentence_DC"
"18",4112118,95.2,932.6,285,1748344588031,29,31,"sentence_DC"
"19",4112119,95.2,932.6,285,1748344588032,29,31,"sentence_DC"
"20",4112120,NA,NA,0,1748344588033,29,31,"sentence_DC"
"21",4112121,NA,NA,0,1748344588034,29,31,"sentence_DC"
"22",4112122,NA,NA,0,1748344588035,29,31,"sentence_DC"
"23",4112123,NA,NA,0,1748344588036,29,31,"sentence_DC"
"24",4112124,NA,NA,0,1748344588037,29,31,"sentence_DC"
"25",4112125,NA,NA,0,1748344588038,29,31,"sentence_DC"
"26",4112126,NA,NA,0,1748344588039,29,31,"sentence_DC"
"27",4112127,NA,NA,0,1748344588040,29,31,"sentence_DC"
"28",4112128,NA,NA,0,1748344588041,29,31,"sentence_DC"
"29",4112129,NA,NA,0,1748344588042,29,31,"sentence_DC"
"30",4112130,NA,NA,0,1748344588043,29,31,"sentence_DC"
"31",4112131,NA,NA,0,1748344588044,29,31,"sentence_DC"
"32",4112132,NA,NA,0,1748344588045,29,31,"sentence_DC"
"33",4112133,NA,NA,0,1748344588046,29,31,"sentence_DC"
"34",4112134,NA,NA,0,1748344588047,29,31,"sentence_DC"
"35",4112135,NA,NA,0,1748344588048,29,31,"sentence_DC"
"36",4112136,NA,NA,0,1748344588049,29,31,"sentence_DC"
"37",4112137,NA,NA,0,1748344588050,29,31,"sentence_DC"
"38",4112138,NA,NA,0,1748344588051,29,31,"sentence_DC"
"39",4112139,NA,NA,0,1748344588052,29,31,"sentence_DC"
"40",4112140,NA,NA,0,1748344588053,29,31,"sentence_DC"
"41",4112141,NA,NA,0,1748344588054,29,31,"sentence_DC"
"42",4112142,NA,NA,0,1748344588055,29,31,"sentence_DC"
"43",4112143,NA,NA,0,1748344588056,29,31,"sentence_DC"
"44",4112144,NA,NA,0,1748344588057,29,31,"sentence_DC"
"45",4112145,NA,NA,0,1748344588058,29,31,"sentence_DC"
"46",4112146,NA,NA,0,1748344588059,29,31,"sentence_DC"
"47",4112147,NA,NA,0,1748344588060,29,31,"sentence_DC"
"48",4112148,NA,NA,0,1748344588061,29,31,"sentence_DC"
"49",4112149,NA,NA,0,1748344588062,29,31,"sentence_DC"
"50",4112150,NA,NA,0,1748344588063,29,31,"sentence_DC"
"51",4112151,NA,NA,0,1748344588064,29,31,"sentence_DC"
"52",4112152,NA,NA,0,1748344588065,29,31,"sentence_DC"
"53",4112153,NA,NA,0,1748344588066,29,31,"sentence_DC"
"54",4112154,NA,NA,0,1748344588067,29,31,"sentence_DC"
"55",4112155,NA,NA,0,1748344588068,29,31,"sentence_DC"
"56",4112156,NA,NA,0,1748344588069,29,31,"sentence_DC"
"57",4112157,NA,NA,0,1748344588070,29,31,"sentence_DC"
"58",4112158,NA,NA,0,1748344588071,29,31,"sentence_DC"
"59",4112159,NA,NA,0,1748344588072,29,31,"sentence_DC"
"60",4112160,NA,NA,0,1748344588073,29,31,"sentence_DC"
"61",4112161,NA,NA,0,1748344588074,29,31,"sentence_DC"
"62",4112162,NA,NA,0,1748344588075,29,31,"sentence_DC"
"63",4112163,NA,NA,0,1748344588076,29,31,"sentence_DC"
