method,event,smoothing,parameter_type,parameter_value,MCC
IVT,fixation,raw,vel_threshold,20,0.0389989542354627
IVT,fixation,raw,vel_threshold,25,0.037355833021673786
IVT,fixation,raw,vel_threshold,30,0.04638928949837479
IVT,fixation,raw,vel_threshold,35,0.05279922529015239
IVT,fixation,raw,vel_threshold,40,0.061655793572474256
IVT,fixation,raw,vel_threshold,45,0.056273041972613014
IVT,fixation,raw,vel_threshold,50,0.06602193717514124
IVT,fixation,raw,vel_threshold,55,0.06807709491091314
IVT,fixation,raw,vel_threshold,60,0.07187904340546561
IVT,fixation,raw,vel_threshold,65,0.07698428904387851
IVT,fixation,raw,vel_threshold,70,0.07492671803618858
IVT,fixation,mean,vel_threshold,20,0.11301609209963487
IVT,fixation,mean,vel_threshold,25,0.12965099917465253
IVT,fixation,mean,vel_threshold,30,0.1343633240383955
IVT,fixation,mean,vel_threshold,35,0.14011602924196573
IVT,fixation,mean,vel_threshold,40,0.14616205298240637
IVT,fixation,mean,vel_threshold,45,0.14475471167066842
IVT,fixation,mean,vel_threshold,50,0.14813360501877704
IVT,fixation,mean,vel_threshold,55,0.14402594010531444
IVT,fixation,mean,vel_threshold,60,0.1447148148273003
IVT,fixation,mean,vel_threshold,65,0.14012551013301963
IVT,fixation,mean,vel_threshold,70,0.13482845523908987
IVT,fixation,median,vel_threshold,20,0.07501613716526294
IVT,fixation,median,vel_threshold,25,0.08022318901307478
IVT,fixation,median,vel_threshold,30,0.08512994373481537
IVT,fixation,median,vel_threshold,35,0.09094966638364438
IVT,fixation,median,vel_threshold,40,0.09693708783082275
IVT,fixation,median,vel_threshold,45,0.09353058257044881
IVT,fixation,median,vel_threshold,50,0.09858267776360792
IVT,fixation,median,vel_threshold,55,0.10099967237089928
IVT,fixation,median,vel_threshold,60,0.09852047918063213
IVT,fixation,median,vel_threshold,65,0.09457782864990512
IVT,fixation,median,vel_threshold,70,0.09359883317605507
IVT,fixation,sg,vel_threshold,20,0.15985521148117987
IVT,fixation,sg,vel_threshold,25,0.17254466625874978
IVT,fixation,sg,vel_threshold,30,0.1751744693419599
IVT,fixation,sg,vel_threshold,35,0.1808049926111125
IVT,fixation,sg,vel_threshold,40,0.16969502318476912
IVT,fixation,sg,vel_threshold,45,0.1651582607063769
IVT,fixation,sg,vel_threshold,50,0.16665540454698982
IVT,fixation,sg,vel_threshold,55,0.16621683415807828
IVT,fixation,sg,vel_threshold,60,0.1576616190456133
IVT,fixation,sg,vel_threshold,65,0.1451956443243862
IVT,fixation,sg,vel_threshold,70,0.1428479010294306
IVT,saccade,raw,vel_threshold,20,-0.0021422790771759895
IVT,saccade,raw,vel_threshold,25,0.004022726432853958
IVT,saccade,raw,vel_threshold,30,-0.0029370788814935575
IVT,saccade,raw,vel_threshold,35,-0.0048837589879025785
