method,event,smoothing,parameter_type,parameter_value,MCC
IVT,saccade,raw,vel_threshold,40,-0.008747924202647374
IVT,saccade,raw,vel_threshold,45,-0.006265151331645845
IVT,saccade,raw,vel_threshold,50,-0.01084739797103295
IVT,saccade,raw,vel_threshold,55,-0.01491259368622002
IVT,saccade,raw,vel_threshold,60,-0.017317796554215652
IVT,saccade,raw,vel_threshold,65,-0.014734210224049953
IVT,saccade,raw,vel_threshold,70,-0.014738457401738968
IVT,saccade,mean,vel_threshold,20,0.03525464797495478
IVT,saccade,mean,vel_threshold,25,0.0230943655753632
IVT,saccade,mean,vel_threshold,30,0.019658098944574372
IVT,saccade,mean,vel_threshold,35,0.019312700751999323
IVT,saccade,mean,vel_threshold,40,0.009015670781938247
IVT,saccade,mean,vel_threshold,45,0.009222027393320495
IVT,saccade,mean,vel_threshold,50,0.006069822250600937
IVT,saccade,mean,vel_threshold,55,0.0036710271968158664
IVT,saccade,mean,vel_threshold,60,-0.0012002446300680898
IVT,saccade,mean,vel_threshold,65,-0.005309366011640942
IVT,saccade,mean,vel_threshold,70,-0.007571169560636665
IVT,saccade,median,vel_threshold,20,0.005352367400567994
IVT,saccade,median,vel_threshold,25,-2.1681350913575208e-4
IVT,saccade,median,vel_threshold,30,-0.008418391047859863
IVT,saccade,median,vel_threshold,35,-0.016464536705413927
IVT,saccade,median,vel_threshold,40,-0.017806118838457518
IVT,saccade,median,vel_threshold,45,-0.0231903165035919
IVT,saccade,median,vel_threshold,50,-0.02378220227184592
IVT,saccade,median,vel_threshold,55,-0.02665267567468145
IVT,saccade,median,vel_threshold,60,-0.024860796074307284
IVT,saccade,median,vel_threshold,65,-0.02465329296475786
IVT,saccade,median,vel_threshold,70,-0.025286830759236163
IVT,saccade,sg,vel_threshold,20,0.16006522790472824
IVT,saccade,sg,vel_threshold,25,0.15635566443323343
IVT,saccade,sg,vel_threshold,30,0.14851332822929506
IVT,saccade,sg,vel_threshold,35,0.13881176222150923
IVT,saccade,sg,vel_threshold,40,0.132735907981847
IVT,saccade,sg,vel_threshold,45,0.12221422907240811
IVT,saccade,sg,vel_threshold,50,0.11795247555709407
IVT,saccade,sg,vel_threshold,55,0.11485845399498565
IVT,saccade,sg,vel_threshold,60,0.10733778585281172
IVT,saccade,sg,vel_threshold,65,0.09761568104361301
IVT,saccade,sg,vel_threshold,70,0.09233834516701532
IDT,fixation,raw,disp_threshold,1,0.08471654095520417
IDT,fixation,raw,disp_threshold,1.5,0.1007440539058255
IDT,fixation,raw,disp_threshold,2,0.11922211697590013
IDT,fixation,raw,disp_threshold,2.5,0.12892676719713478
IDT,fixation,raw,disp_threshold,3,0.11769016064194336
IDT,fixation,raw,disp_threshold,3.5,0.10278892655508848
IDT,fixation,raw,disp_threshold,4,0.07655378193382693
IDT,fixation,raw,disp_threshold,4.5,0.06828431111751607
IDT,fixation,raw,disp_threshold,5,0.06329716969624061
IDT,fixation,raw,disp_threshold,5.5,0.05758287853128183
IDT,fixation,raw,disp_threshold,6,0.04160699223020736
IDT,fixation,raw,disp_threshold,6.5,0.037242851626639914
IDT,fixation,raw,disp_threshold,7,0.03747000699379103
IDT,fixation,raw,disp_threshold,7.5,0.02444374937064187
IDT,fixation,raw,disp_threshold,8,0.011597202346253058
IDT,fixation,mean,disp_threshold,1,0.18479656225383495
IDT,fixation,mean,disp_threshold,1.5,0.16431976029687276
IDT,fixation,mean,disp_threshold,2,0.13083121025820432
IDT,fixation,mean,disp_threshold,2.5,0.09884833368949213
IDT,fixation,mean,disp_threshold,3,0.07855567935026053
IDT,fixation,mean,disp_threshold,3.5,0.05747760566771921
IDT,fixation,mean,disp_threshold,4,0.05560650028009879
IDT,fixation,mean,disp_threshold,4.5,0.04675121442230568
IDT,fixation,mean,disp_threshold,5,0.04575114302139123
IDT,fixation,mean,disp_threshold,5.5,0.033853610561105044
IDT,fixation,mean,disp_threshold,6,0.024665616814628828
IDT,fixation,mean,disp_threshold,6.5,0.019532124244944594
IDT,fixation,mean,disp_threshold,7,0.018041141738483136
IDT,fixation,mean,disp_threshold,7.5,0.02100676660054289
IDT,fixation,mean,disp_threshold,8,0.015333831865755092
IDT,fixation,median,disp_threshold,1,0.156167412775076
IDT,fixation,median,disp_threshold,1.5,0.13400458974802415
IDT,fixation,median,disp_threshold,2,0.11210178659176684
IDT,fixation,median,disp_threshold,2.5,0.09691533523036093
IDT,fixation,median,disp_threshold,3,0.09004711372514043
IDT,fixation,median,disp_threshold,3.5,0.07520232717512229
IDT,fixation,median,disp_threshold,4,0.06632390379974266
IDT,fixation,median,disp_threshold,4.5,0.05903256844843601
IDT,fixation,median,disp_threshold,5,0.049410764970271644
IDT,fixation,median,disp_threshold,5.5,0.03447390488007638
IDT,fixation,median,disp_threshold,6,0.028800554663992114
IDT,fixation,median,disp_threshold,6.5,0.027097430487457535
IDT,fixation,median,disp_threshold,7,0.021212002995411573
IDT,fixation,median,disp_threshold,7.5,0.013413457078172543
IDT,fixation,median,disp_threshold,8,0.01256025082313269
IDT,fixation,sg,disp_threshold,1,0.22440855454946798
IDT,fixation,sg,disp_threshold,1.5,0.19837813663372797
IDT,fixation,sg,disp_threshold,2,0.18003939812346845
IDT,fixation,sg,disp_threshold,2.5,0.15700350048936726
IDT,fixation,sg,disp_threshold,3,0.13102926435127246
IDT,fixation,sg,disp_threshold,3.5,0.0997019368061026
IDT,fixation,sg,disp_threshold,4,0.05989618529772312
IDT,fixation,sg,disp_threshold,4.5,0.04328684180588889
IDT,fixation,sg,disp_threshold,5,0.027241412560401527
IDT,fixation,sg,disp_threshold,5.5,0.011015784889427763
IDT,fixation,sg,disp_threshold,6,0.021778416513147884
IDT,fixation,sg,disp_threshold,6.5,0.017707425406495125
IDT,fixation,sg,disp_threshold,7,-6.920402225825877e-4
IDT,fixation,sg,disp_threshold,7.5,7.909695629763169e-4
IDT,fixation,sg,disp_threshold,8,2.0907386867680968e-4
IDT,saccade,raw,disp_threshold,1,0.025291277467682744
IDT,saccade,raw,disp_threshold,1.5,0.038772434360008545
IDT,saccade,raw,disp_threshold,2,0.050800625840409376
IDT,saccade,raw,disp_threshold,2.5,0.055164876178794335
IDT,saccade,raw,disp_threshold,3,0.060053931745098946
IDT,saccade,raw,disp_threshold,3.5,0.05473586415149374
IDT,saccade,raw,disp_threshold,4,0.049907839014220044
IDT,saccade,raw,disp_threshold,4.5,0.0376631611640498
IDT,saccade,raw,disp_threshold,5,0.030333133486390627
IDT,saccade,raw,disp_threshold,5.5,0.02888779072536251
IDT,saccade,raw,disp_threshold,6,0.026826461543873026
IDT,saccade,raw,disp_threshold,6.5,0.028876812712397195
IDT,saccade,raw,disp_threshold,7,0.019451627626828952
IDT,saccade,raw,disp_threshold,7.5,0.01809280425867225
IDT,saccade,raw,disp_threshold,8,0.011560794386896478
IDT,saccade,mean,disp_threshold,1,0.11075808389024155
IDT,saccade,mean,disp_threshold,1.5,0.11700421999382142
IDT,saccade,mean,disp_threshold,2,0.10498468765705105
IDT,saccade,mean,disp_threshold,2.5,0.0942729288196388
IDT,saccade,mean,disp_threshold,3,0.08751067726702019
IDT,saccade,mean,disp_threshold,3.5,0.07583901821849064
IDT,saccade,mean,disp_threshold,4,0.07190455728042326
IDT,saccade,mean,disp_threshold,4.5,0.05572657443003191
IDT,saccade,mean,disp_threshold,5,0.04060184505639908
IDT,saccade,mean,disp_threshold,5.5,0.033644905617427646
IDT,saccade,mean,disp_threshold,6,0.027669929746897862
IDT,saccade,mean,disp_threshold,6.5,0.0159703361927299
IDT,saccade,mean,disp_threshold,7,0.012046631272843852
IDT,saccade,mean,disp_threshold,7.5,0.014954527709785616
IDT,saccade,mean,disp_threshold,8,0.007064297433553086
IDT,saccade,median,disp_threshold,1,0.07537195669633859
IDT,saccade,median,disp_threshold,1.5,0.07283201785529611
IDT,saccade,median,disp_threshold,2,0.07575340777150572
IDT,saccade,median,disp_threshold,2.5,0.06702405106583659
IDT,saccade,median,disp_threshold,3,0.056560785992723184
IDT,saccade,median,disp_threshold,3.5,0.05140651284054908
IDT,saccade,median,disp_threshold,4,0.04477142094017259
IDT,saccade,median,disp_threshold,4.5,0.03103790463706535
IDT,saccade,median,disp_threshold,5,0.03413240712152305
IDT,saccade,median,disp_threshold,5.5,0.0268530261692768
IDT,saccade,median,disp_threshold,6,0.02385225411839687
IDT,saccade,median,disp_threshold,6.5,0.02396606295263714
IDT,saccade,median,disp_threshold,7,0.015993181015556978
IDT,saccade,median,disp_threshold,7.5,0.009834000922828871
IDT,saccade,median,disp_threshold,8,0.00533823350334953
IDT,saccade,sg,disp_threshold,1,0.13339621615029018
IDT,saccade,sg,disp_threshold,1.5,0.15907954064566018
IDT,saccade,sg,disp_threshold,2,0.1639383810636934
IDT,saccade,sg,disp_threshold,2.5,0.1532726920972656
IDT,saccade,sg,disp_threshold,3,0.12898874838448016
IDT,saccade,sg,disp_threshold,3.5,0.11959333247185429
IDT,saccade,sg,disp_threshold,4,0.1065852707754011
IDT,saccade,sg,disp_threshold,4.5,0.09230389196744089
IDT,saccade,sg,disp_threshold,5,0.07886765993891783
IDT,saccade,sg,disp_threshold,5.5,0.06189912911816081
IDT,saccade,sg,disp_threshold,6,0.05324804379280135
IDT,saccade,sg,disp_threshold,6.5,0.042422522441124634
IDT,saccade,sg,disp_threshold,7,0.03441252446926743
IDT,saccade,sg,disp_threshold,7.5,0.030582080838177452
IDT,saccade,sg,disp_threshold,8,0.017144473957420147
EK03,fixation,raw,lambda,2,0.18816951435057014
EK03,fixation,raw,lambda,3,0.24178763636155362
EK03,fixation,raw,lambda,4,0.23650358064933422
EK03,fixation,raw,lambda,5,0.22821775583330084
EK03,fixation,raw,lambda,6,0.21840283333001212
EK03,fixation,raw,lambda,7,0.20359725231804737
EK03,fixation,raw,lambda,8,0.1848623143052606
EK03,fixation,raw,lambda,9,0.17182500877332849
EK03,fixation,raw,lambda,10,0.15662161497755822
EK03,fixation,raw,lambda,11,0.14388324380897474
EK03,fixation,raw,lambda,12,0.13381661066393064
EK03,fixation,raw,lambda,13,0.11775925282073658
EK03,fixation,raw,lambda,14,0.10760046476586015
EK03,fixation,raw,lambda,15,0.09404098717980099
EK03,fixation,mean,lambda,2,0.23522668271767497
EK03,fixation,mean,lambda,3,0.27113923978541665
EK03,fixation,mean,lambda,4,0.254380768111946
EK03,fixation,mean,lambda,5,0.24434216310941018
EK03,fixation,mean,lambda,6,0.22691242555369628
EK03,fixation,mean,lambda,7,0.21132214338552033
EK03,fixation,mean,lambda,8,0.19066026788599433
EK03,fixation,mean,lambda,9,0.1770870398113568
EK03,fixation,mean,lambda,10,0.16597271528499435
EK03,fixation,mean,lambda,11,0.14666216102818755
EK03,fixation,mean,lambda,12,0.13143658339389103
EK03,fixation,mean,lambda,13,0.12316809595261381
EK03,fixation,mean,lambda,14,0.10547843766116478
EK03,fixation,mean,lambda,15,0.09496670993803132
EK03,fixation,median,lambda,2,0.215411482850704
EK03,fixation,median,lambda,3,0.25078657702456164
EK03,fixation,median,lambda,4,0.24892988791271603
EK03,fixation,median,lambda,5,0.23671225266255394
EK03,fixation,median,lambda,6,0.2224008409565149
EK03,fixation,median,lambda,7,0.21009419570764745
EK03,fixation,median,lambda,8,0.20085433451634885
EK03,fixation,median,lambda,9,0.1864313103587431
EK03,fixation,median,lambda,10,0.16570186974399775
EK03,fixation,median,lambda,11,0.1547472510929705
EK03,fixation,median,lambda,12,0.14569470013225902
EK03,fixation,median,lambda,13,0.13748351618103077
EK03,fixation,median,lambda,14,0.12452955779258784
EK03,fixation,median,lambda,15,0.11605113173073196
EK03,fixation,sg,lambda,2,0.19411370623011767
EK03,fixation,sg,lambda,3,0.20500347076500927
EK03,fixation,sg,lambda,4,0.18037024336139454
EK03,fixation,sg,lambda,5,0.15265747026473064
EK03,fixation,sg,lambda,6,0.11803166745531107
EK03,fixation,sg,lambda,7,0.09921335994020543
EK03,fixation,sg,lambda,8,0.09092553740201093
EK03,fixation,sg,lambda,9,0.07414562555764989
EK03,fixation,sg,lambda,10,0.06250212794826925
EK03,fixation,sg,lambda,11,0.058564366061500624
EK03,fixation,sg,lambda,12,0.04651076441465091
EK03,fixation,sg,lambda,13,0.04274331055509015
EK03,fixation,sg,lambda,14,0.02913434687867737
EK03,fixation,sg,lambda,15,0.02435336660634185
EK03,saccade,raw,lambda,2,0.1364516210319496
EK03,saccade,raw,lambda,3,0.13149581186357326
EK03,saccade,raw,lambda,4,0.10449080604879733
EK03,saccade,raw,lambda,5,0.09113095531771906
EK03,saccade,raw,lambda,6,0.08204624848127826
EK03,saccade,raw,lambda,7,0.07221037281752272
EK03,saccade,raw,lambda,8,0.05930915251895628
EK03,saccade,raw,lambda,9,0.05644843679677508
EK03,saccade,raw,lambda,10,0.04772107409594138
EK03,saccade,raw,lambda,11,0.04514346245762335
EK03,saccade,raw,lambda,12,0.042451630907092086
EK03,saccade,raw,lambda,13,0.03410419783721213
EK03,saccade,raw,lambda,14,0.03399209305777612
EK03,saccade,raw,lambda,15,0.024740829068435197
EK03,saccade,mean,lambda,2,0.181138712929262
EK03,saccade,mean,lambda,3,0.16249601557634596
EK03,saccade,mean,lambda,4,0.14236816523924575
EK03,saccade,mean,lambda,5,0.12074479589403696
EK03,saccade,mean,lambda,6,0.10340730240895049
EK03,saccade,mean,lambda,7,0.08864383505914644
EK03,saccade,mean,lambda,8,0.07800972415701016
EK03,saccade,mean,lambda,9,0.0710239416719267
EK03,saccade,mean,lambda,10,0.0645927430941128
EK03,saccade,mean,lambda,11,0.05505206118495168
EK03,saccade,mean,lambda,12,0.05083603913089216
EK03,saccade,mean,lambda,13,0.04782503983125544
EK03,saccade,mean,lambda,14,0.03915551503461122
EK03,saccade,mean,lambda,15,0.027676644001971572
EK03,saccade,median,lambda,2,0.14484395347668277
EK03,saccade,median,lambda,3,0.13736520458111587
EK03,saccade,median,lambda,4,0.11897476196647569
EK03,saccade,median,lambda,5,0.10254324220611394
EK03,saccade,median,lambda,6,0.08905975606400694
EK03,saccade,median,lambda,7,0.07787194562184309
EK03,saccade,median,lambda,8,0.0695106505618478
EK03,saccade,median,lambda,9,0.06016495671794317
EK03,saccade,median,lambda,10,0.05037919123444097
EK03,saccade,median,lambda,11,0.04597628329159888
EK03,saccade,median,lambda,12,0.04232432428741047
EK03,saccade,median,lambda,13,0.042874656538792355
EK03,saccade,median,lambda,14,0.034040366415161144
EK03,saccade,median,lambda,15,0.030721661841825856
EK03,saccade,sg,lambda,2,0.18389309002739937
EK03,saccade,sg,lambda,3,0.1764296164579499
EK03,saccade,sg,lambda,4,0.145167614461718
EK03,saccade,sg,lambda,5,0.12298993446963202
EK03,saccade,sg,lambda,6,0.10309204138621605
EK03,saccade,sg,lambda,7,0.08669567546536792
EK03,saccade,sg,lambda,8,0.071021755911099
EK03,saccade,sg,lambda,9,0.06111522380856666
EK03,saccade,sg,lambda,10,0.041689791174742113
EK03,saccade,sg,lambda,11,0.030071263219924028
EK03,saccade,sg,lambda,12,0.022690239828654868
EK03,saccade,sg,lambda,13,0.005744452569563067
EK03,saccade,sg,lambda,14,0.006131242039789573
EK03,saccade,sg,lambda,15,0.009431722595433067
IHMM,fixation,raw,none,NA,0.07594118710660863
IHMM,fixation,mean,none,NA,0.15767587571522795
IHMM,fixation,median,none,NA,0.08476269792132633
IHMM,fixation,sg,none,NA,0.19071041815032766
IHMM,saccade,raw,none,NA,-0.0036445049586574176
IHMM,saccade,mean,none,NA,0.027336447149638832
IHMM,saccade,median,none,NA,1.770833326288048e-4
IHMM,saccade,sg,none,NA,0.15131079033664147
