method,smoothing,parameter,RMSE_n_fixations,RMSE_mean_fix_dur,RMSE_sd_fix_dur,mean_error_n_fixations,mean_error_mean_fix_dur,mean_error_sd_fix_dur
EK03,sg,lambda_13,7.1165743913740656,1858.5308346191398,760.8115198864574,-6.66504854368932,1693.0270652563702,558.0071548446296
EK03,sg,lambda_14,7.130203771649358,1873.772980589196,786.9928185602139,-6.674757281553399,1709.2724532503403,595.3511580402378
EK03,sg,lambda_15,7.142787794392898,1885.7230159302126,522.0928615711358,-6.689320388349515,1725.009832009632,487.6665134079825
IDT,mean,disp_5,3.301220721555466,200.25755347057918,159.78680717545953,-1.3932038834951446,88.75174265701693,88.58229573937557
IDT,mean,disp_5.5,3.3486702186106196,223.2508188408768,164.61161741778218,-1.5922330097087396,108.85026654983827,95.80922763610951
IDT,mean,disp_6,3.4225125614100658,240.34690351217557,185.15009943256865,-1.8495145631067975,128.05998401900257,106.50203045088658
IDT,mean,disp_6.5,3.4829682687565557,271.3708338346839,190.4672395075816,-2.1407766990291237,156.6791652148815,115.98643850332905
IDT,mean,disp_7,3.507965969435626,283.0000542426984,201.86884842485804,-2.2669902912621382,173.6906802494947,123.53808509651367
IDT,mean,disp_4.5,3.539650577894975,190.18179458870668,143.18573849159353,-1.1796116504854355,63.329640557290105,71.73506867737053
IDT,mean,disp_3.5,3.6536987510065444,175.86675546657358,122.76854290486715,-0.7572815533980577,32.22541199860507,52.13186528921144
IDT,mean,disp_7.5,3.7227977786835136,308.317300905622,226.39058186012943,-2.577669902912624,199.08144081825856,141.2925098367274
IDT,mean,disp_4,3.7448994438649748,181.10030154635248,127.87438367251609,-1.0436893203883468,46.420751154268146,60.739022118480484
IDT,mean,disp_3,3.84657204597215,169.76845008775342,79.94185676857246,-0.495145631067959,14.847499374549926,33.0301666102045
IDT,mean,disp_8,3.9029488478249177,358.29683990870427,255.76792484807328,-2.902912621359225,236.9662565574728,166.16194509568268
IDT,mean,disp_2.5,3.958522819515047,167.6607309118151,102.48325878430882,0.058252427184464085,-0.26499983556133955,22.30058950941211
IDT,mean,disp_2,4.512119601802558,164.11210344552194,100.85234919535465,0.621359223300971,-20.573112327836757,9.362563722703356
IDT,mean,disp_1.5,5.248670659254626,167.34265746405984,69.42270594433609,1.3446601941747538,-46.386350858284885,-17.149630768635948
IDT,mean,disp_1,6.3356749205612735,178.60846362414225,105.84623066225001,2.626213592233013,-72.68664576675182,-38.66510435687931
IDT,median,disp_4.5,2.904633058388529,191.03803352100198,130.03452401363037,-0.8058252427184497,75.6155374148789,67.40061507352827
IDT,median,disp_4,2.9163083459970482,179.37482196845352,123.32901283311776,-0.43689320388349245,55.319695747123845,56.63396844558489
IDT,median,disp_3.5,2.9894636983719156,172.79995098837884,113.08177035198132,-0.13106796116504738,39.588209533895416,47.50754372642571
IDT,median,disp_5.5,3.122887635581215,221.7381179477026,162.5393295283408,-1.5873786407766952,115.9295587966087,91.83677968768183
IDT,median,disp_5,3.132975260129343,212.53900504134324,162.643451133272,-1.3689320388349497,103.33734426249883,89.34240857487494
IDT,median,disp_6,3.1615100238759255,240.64719283763597,182.23101763138277,-1.8203883495145654,135.39250167745604,106.04809558755976
IDT,median,disp_3,3.188267326258782,167.69753227847767,114.03907830468484,0.33980582524271885,22.657145510707608,32.44243620416832
IDT,median,disp_6.5,3.2515866179421664,258.6327863301796,196.18992147647452,-2.0485436893203914,153.3824935454072,119.098598994789
IDT,median,disp_7,3.444427045228697,291.01896700910265,195.23991838018637,-2.330097087378637,177.6212274323665,119.41551153005139
IDT,median,disp_2.5,3.590034751163713,160.1190895186028,66.68115331705435,0.6941747572815513,2.837943320664488,13.246611228226463
IDT,median,disp_7.5,3.6048780327589367,317.83869918463205,203.96959367393941,-2.538834951456312,200.53714298991315,132.07387683005825
IDT,median,disp_8,3.7694479521645716,340.8677663607917,233.4942501806352,-2.8300970873786375,227.1862914864356,154.11244527255099
IDT,median,disp_2,4.350538411049766,164.3326952619077,95.85468137810328,1.6359223300970867,-20.33363780764291,6.521587856756566
IDT,median,disp_1.5,5.814277706019763,165.80608323834232,96.344634082934,2.9417475728155362,-45.83814041594525,-12.953871776264752
IDT,median,disp_1,6.770510012195733,179.4419574011232,75.92570631055794,4.033980582524276,-76.88591006197939,-41.95285425288311
IDT,raw,disp_5.5,2.7964957267113006,177.31079584073495,131.91154120588212,-0.5194174757281539,63.35394061027523,66.7092238437923
IDT,raw,disp_5,2.8853496700480865,173.6151331026362,118.58106787842907,-0.16019417475728126,47.73698184115727,55.861686266345764
IDT,raw,disp_6,2.920466780087086,197.56581053111145,152.58718498696166,-0.9854368932038843,86.73969560437278,83.01359164633683
IDT,raw,disp_7,3.021765702559522,226.05382503118986,171.97772922003728,-1.6456310679611668,123.23168461092745,104.417123642055
IDT,raw,disp_6.5,3.0241744440361167,210.14077372311564,161.4305454633371,-1.339805825242718,105.55510656400801,94.58053363749414
IDT,raw,disp_7.5,3.1836963313257605,242.9715059320848,182.8852157966133,-1.9320388349514563,140.1570623471189,113.27611334733551
IDT,raw,disp_4.5,3.2351227824420707,171.88495025097967,110.51369336178458,0.16504854368931832,32.577252989488244,42.16531601333669
IDT,raw,disp_8,3.4338407266386595,271.89426002600817,197.35863358655388,-2.29611650485437,167.60489698435265,124.5145070303641
IDT,raw,disp_4,3.5764874018962134,166.2449818838773,107.62804570774948,0.7912621359223324,12.736447020547043,33.144650722756275
IDT,raw,disp_3.5,4.319744688608028,164.3932207273994,66.2977617815805,1.6407766990291277,-10.971883379623202,9.88895356881272
IDT,raw,disp_1,4.491091505705641,197.45117610673086,97.1566774011874,0.12135922330097115,-112.81328022395634,-71.79107024367991
IDT,raw,disp_3,5.288749737547407,168.95573398747635,101.6327242445198,2.5533980582524243,-27.08219867359109,2.2233476073581544
IDT,raw,disp_1.5,5.890588181685559,187.7878500556178,87.29557733644745,3.1553398058252458,-94.59995525912954,-55.14351471336294
IDT,raw,disp_2.5,6.3041826152644065,172.8580719476405,100.67075927852386,3.587378640776696,-49.59659552322165,-15.031106442001677
IDT,raw,disp_2,6.717604751117248,179.2261099120874,80.67412772812924,4.087378640776697,-72.37913561591226,-35.76728747759397
IDT,sg,disp_6.5,3.380411878162101,282.01921741418676,205.61066794293706,-1.5242718446601948,147.00396155843936,127.62158153271933
IDT,sg,disp_6,3.443017416749274,251.54630797120413,182.04564717075527,-1.2038834951456332,119.11946123769759,111.14602394575303
IDT,sg,disp_5.5,3.4711012214166814,228.71696321036006,168.9435886040572,-0.8543689320388348,93.63109978829583,99.37029480061283
IDT,sg,disp_7,3.5003467234641246,311.857902781775,235.65673171107744,-1.9902912621359206,178.67890706769379,149.02321609890964
IDT,sg,disp_5,3.5553869970833176,215.20872495017383,160.81625169055513,-0.41747572815533673,75.2323583308858,93.61388363054364
IDT,sg,disp_7.5,3.5778444451633775,331.72964040228464,239.00770661349236,-2.237864077669906,203.5675280827124,152.6508971686078
IDT,sg,disp_4.5,3.8078865529319543,198.10909544221002,150.9981050527303,0.12135922330097114,50.97531438781359,80.58930908935557
IDT,sg,disp_8,3.9896711303258274,394.0687571856195,271.99505605488736,-2.752427184466022,245.17991934082406,171.6795277195504
IDT,sg,disp_4,3.9902794510018187,189.95482088866711,133.89673659440106,0.8640776699029133,31.581343696820575,62.619727754717346
IDT,sg,disp_3.5,4.250071387178867,179.27500159827164,119.12517277062399,1.4805825242718416,6.517593727529722,49.7015949901048
IDT,sg,disp_3,4.361682226464943,170.37643936732607,98.29598414832886,2.014563106796116,-13.74448673080125,32.07868584035327
IDT,sg,disp_2.5,4.932062724504486,167.44356832088997,73.7889419850433,2.6650485436893177,-32.462130570493386,20.150413168789168
IDT,sg,disp_1.5,5.004367024948145,174.2036978593129,88.24321995014668,2.1213592233009715,-61.3979072916674,-4.2479193220806035
IDT,sg,disp_2,5.0990195135927845,172.93033858625003,87.85106154496071,3.009708737864074,-47.76326463444707,5.351270058891336
IDT,sg,disp_1,5.406306996444598,183.05092226104568,104.52666415161566,1.6747572815533933,-79.89557300961165,-25.541328576801824
IHMM,mean,none,2.7782092437290866,179.71046364483246,129.055181150885,-1.9320388349514568,39.282207686482266,45.19553885279724
IHMM,median,none,2.8861907572748287,183.81426447968175,155.82596737153182,-1.6601941747572828,28.24283849015218,39.13477123132501
IHMM,raw,none,2.692131648997497,196.9915827289416,190.7465793273163,-1.5970873786407762,51.8736135131207,68.4776873713533
IHMM,sg,none,4.537866570284845,293.15121161634954,254.78577813998527,-3.941747572815535,146.29817655879623,128.02071162729104
IVT,mean,vel_45,2.1999558689307204,168.1835964527973,118.0888153604603,-1.3058252427184458,24.926985811514193,36.362415868871835
IVT,mean,vel_50,2.239322019450556,171.04842393615218,124.60571716977864,-1.4126213592233006,40.461493836808764,46.58039370738803
IVT,mean,vel_40,2.283329199438773,166.57166797857508,116.4997390853869,-1.3203883495145625,11.538826220530549,26.18271750713745
IVT,mean,vel_55,2.314999633039036,178.8159920464624,129.19802505984566,-1.5825242718446595,56.27213657848625,55.9200334361687
IVT,mean,vel_35,2.4085204740226738,167.9738670323365,119.96023868841083,-1.4902912621359228,0.45324278384876976,17.093588975827704
IVT,mean,vel_60,2.4897849558171874,189.37721976563395,142.44959741035225,-1.742718446601942,70.37983166638095,68.77863437354831
IVT,mean,vel_65,2.6429977096478696,191.2197768191187,150.43908679530225,-1.907766990291261,83.74154025514208,78.01132536512876
IVT,mean,vel_30,2.7834462120784695,177.99813478864004,139.3278861534388,-1.7961165048543695,-12.501952945009492,7.799722731257352
IVT,mean,vel_70,2.8583042022537355,206.37148827331748,172.3435000314516,-2.140776699029126,105.2266544916647,96.20597548713937
IVT,mean,vel_25,3.3530163206584516,179.39126549806863,145.11304242321023,-2.6116504854368925,-25.030164389982364,-4.903571590878768
IVT,mean,vel_20,4.353327039251658,177.44194677985737,90.41808917054031,-3.7087378640776705,-44.87828861628209,-28.840438325636317
IVT,median,vel_50,1.9804873382799943,169.2778158039938,149.61793293568164,-0.7572815533980579,18.98947939459383,33.39975889521199
IVT,median,vel_55,2.0229268424015583,175.95480075379967,158.2143952059401,-0.7815533980582531,31.556130515920614,43.85589625796348
IVT,median,vel_65,2.065669453533681,182.61166863649822,165.55966163490137,-1.0339805825242716,53.650381415686766,58.56428380882408
IVT,median,vel_60,2.110997555567427,180.45490575573842,162.66958322033003,-0.9417475728155335,43.977375171490706,52.14991398202137
IVT,median,vel_70,2.128174385146159,185.78959900666098,167.45148409704618,-1.1601941747572821,63.79712729825855,65.4113971886347
IVT,median,vel_45,2.136142971834167,165.26065969389376,143.741454356413,-0.8252427184466016,6.3973332970141525,23.158787204726107
IVT,median,vel_40,2.2479764363205468,161.76953798231423,99.94472601249517,-0.9271844660194168,-10.617653094383623,3.0548692909850463
IVT,median,vel_35,2.5053341152681052,168.55111256034166,100.94151722120652,-1.1601941747572821,-23.114085297663063,-7.660921786279949
IVT,median,vel_30,2.7101033548879188,170.3845010377137,104.08649890875672,-1.6165048543689309,-34.116735581559624,-19.214476590587694
IVT,median,vel_25,3.308564936909592,172.33754599447462,108.9124817856033,-2.4223300970873787,-44.29055884454522,-29.78802061436979
IVT,median,vel_20,4.305110983763865,178.21919897463238,88.74739797679229,-3.5436893203883497,-56.26876953418233,-44.763749282193984
IVT,raw,vel_70,2.317095604163745,170.15789673313358,127.37600793470197,-1.1456310679611657,-15.447283199581367,2.822092704030304
IVT,raw,vel_65,2.611587323739063,170.57056440933684,125.9047281760155,-1.5776699029126218,-23.150327021985483,-3.171234315012971
IVT,raw,vel_60,2.9395198075585625,171.54806443874833,127.42588313696257,-1.9611650485436884,-29.583153766771257,-7.779809353816383
IVT,raw,vel_55,3.3283133721019453,175.65768956594192,135.40657017410993,-2.514563106796116,-34.26819989422843,-11.511191912059939
IVT,raw,vel_50,3.8717297506587314,189.096657370172,150.93818953228458,-3.0776699029126213,-39.15364440959309,-17.165717297862678
IVT,raw,vel_45,4.537866570284844,198.08245799815916,157.98116511209346,-3.8155339805825244,-41.948208743292035,-20.209947664885426
IVT,raw,vel_40,5.121343118734169,205.8658154383614,160.98965147328636,-4.470873786407768,-49.282669822029696,-27.182418140116383
IVT,raw,vel_35,5.780785044278617,213.4716361708043,176.9740897458221,-5.242718446601942,-56.33581450158461,-31.152047690577298
IVT,raw,vel_30,6.445439420271387,209.83955919418221,110.44326772446787,-5.9611650485436884,-69.22391932282383,-59.20567755084386
IVT,raw,vel_25,6.973597920812831,228.63688470591882,116.75501840796807,-6.553398058252428,-75.09279062513208,-71.52100778223857
IVT,raw,vel_20,7.4800706086693864,272.540285525426,96.7008051355715,-7.058252427184466,-89.11501960602091,-77.09330343637265
IVT,sg,vel_40,4.041652070170151,281.5406185403666,249.68484730119297,-3.4126213592233037,125.59614148311728,121.35698799545953
IVT,sg,vel_35,4.042852977066415,234.75569711729145,225.6520277327957,-3.4708737864077683,92.60858975608103,100.19753311386054
IVT,sg,vel_45,4.123105625617661,329.9336685184253,298.4909315637025,-3.475728155339804,164.309712139367,149.0786824768054
IVT,sg,vel_30,4.218544358526336,229.05350113907886,219.33553403385008,-3.601941747572817,65.79451279867827,79.01196702704561
IVT,sg,vel_50,4.352211802384569,472.173401648907,349.7519721991376,-3.6116504854368907,231.00157388996942,184.92128015649882
IVT,sg,vel_25,4.404873735007535,211.7993444577366,205.12895854619939,-3.7524271844660197,38.151491557382876,57.751229286245874
IVT,sg,vel_55,4.558678909295791,594.1923850651872,358.1611052488079,-3.8106796116504853,299.0240294651419,210.44359498847047
IVT,sg,vel_60,4.777577076138763,706.9590163346544,373.32469260286626,-4,380.1876894670216,232.3822455074961
IVT,sg,vel_20,4.827107920254779,217.89786641266136,198.91977573235005,-4.155339805825243,18.15796681587025,32.275292301856915
IVT,sg,vel_65,5.040611767463473,858.0193278097673,394.62526944259747,-4.252427184466022,488.4360377704758,254.99958524229916
IVT,sg,vel_70,5.287372757770311,936.4313000283266,418.5241189722754,-4.538834951456312,572.485252751515,280.54045812176906
