method,smoothing,parameter,RMSE_n_fixations,RMSE_mean_fix_dur,RMSE_sd_fix_dur,mean_error_n_fixations,mean_error_mean_fix_dur,mean_error_sd_fix_dur
EK03,mean,lambda_3,2.6087976622801627,175.7270506035874,149.9621882607596,-1.737864077669904,30.994845774147812,45.469690557900805
EK03,mean,lambda_4,2.8395610217279184,204.4960053465236,186.9874322187857,-2.131067961165049,81.6152483367246,88.47460315474477
EK03,mean,lambda_5,3.06087112417935,226.5124770112257,215.91246343714897,-2.4077669902912606,116.67574720584996,125.9745586021959
EK03,mean,lambda_2,3.1951115573759976,180.43726995014265,158.14180263525208,-2.257281553398058,-6.412711043008559,16.796116859525615
EK03,mean,lambda_6,3.6102604590976917,304.51987583782255,318.4758051284199,-2.985436893203884,187.06893848482744,181.43496187583534
EK03,mean,lambda_7,4.134275391130681,381.2521942226516,372.6291354959611,-3.461165048543688,255.40623246340633,226.42698137919996
EK03,mean,lambda_8,4.516420956069882,531.9695863011362,443.2790810558676,-3.815533980582522,345.82772739422444,267.77337315261195
EK03,mean,lambda_9,4.876135665578451,640.7666965055054,467.0150253204624,-4.165048543689319,436.453030388768,297.2725584390617
EK03,mean,lambda_10,5.217595324560328,774.5977928524917,533.3630353603726,-4.514563106796116,539.546129973067,346.0610517312855
EK03,mean,lambda_11,5.540232373942591,946.5111670079941,494.1205433384593,-4.859223300970877,677.213746498295,338.7849638756932
EK03,mean,lambda_12,5.835112997133852,1069.7740658363869,576.7857823505384,-5.135922330097086,783.1471869606022,374.5965450290983
EK03,mean,lambda_13,6.035091556644966,1141.3447849385923,636.6209415289967,-5.383495145631067,882.1289653393823,415.0269678298422
EK03,mean,lambda_14,6.255483031802184,1252.5153765042958,629.5579505863908,-5.635922330097086,1001.3534776572909,415.8890892007396
EK03,mean,lambda_15,6.405019269655648,1335.5409255575903,662.0465544600306,-5.839805825242717,1104.8167597566476,449.120587490428
EK03,median,lambda_3,2.5150035225515306,181.27116651280153,163.13178032250178,-1.6456310679611659,28.774885054637437,40.00137781782522
EK03,median,lambda_4,2.629186444363219,189.54352967431714,177.4962688157582,-1.8349514563106808,60.887837877177354,72.08878236216478
EK03,median,lambda_5,2.9943312137229805,231.49803389414961,225.93013886707428,-2.257281553398058,110.6543892672395,119.36463553752449
EK03,median,lambda_2,3.279829500659761,183.38513425914178,164.25875046017205,-2.349514563106797,-5.978688390502265,9.511519602089313
EK03,median,lambda_6,3.4444270452286974,276.03865489490755,278.922485504043,-2.7281553398058267,158.08004181867827,166.4918599738517
EK03,median,lambda_7,3.8269610747904346,356.6112853655865,350.6202635211484,-3.1213592233009715,217.4030757397297,205.78700529542337
EK03,median,lambda_8,4.147756441155341,433.8479159407921,367.7677023842257,-3.42718446601942,273.5118168426153,223.72418148560536
EK03,median,lambda_9,4.442731600903876,501.43500150295824,394.49536582017237,-3.7184466019417464,332.4994717053758,248.6552713663341
EK03,median,lambda_10,4.836150278327084,707.2681481518963,444.4804789861226,-4.087378640776696,448.5685577080625,279.42718385570794
EK03,median,lambda_11,5.153469940456087,833.9919627295886,455.169685513922,-4.402912621359225,546.0170631387149,294.7232046584342
EK03,median,lambda_12,5.407204830378623,926.2812181630835,465.3865533978774,-4.674757281553399,630.8818530415793,313.87197522225915
EK03,median,lambda_13,5.664143736863026,1028.665592712537,500.90802258816376,-4.946601941747573,731.331113659778,334.31850973122135
EK03,median,lambda_14,5.820536124507691,1087.392839072092,539.2955780234503,-5.121359223300971,796.6004200560367,354.60027680073875
EK03,median,lambda_15,6.019789371537008,1208.7757489007108,539.8890370487675,-5.344660194174755,905.2988231161812,352.8952070387097
EK03,raw,lambda_4,2.6254911699518533,205.74825406563352,189.95919962561524,-1.8349514563106808,73.29373672330433,83.22853325796503
EK03,raw,lambda_3,2.6291864443632185,182.79711229518452,162.74258208425096,-1.6601941747572824,33.203617725999905,43.44951082133136
EK03,raw,lambda_5,3.008079734535037,238.62164928630133,227.67556654710378,-2.262135922330096,116.36645037850393,125.16087207504863
EK03,raw,lambda_2,3.2411193080372764,186.39859296326466,168.9071779515898,-2.2815533980582527,-13.683575592704251,5.894403368956343
EK03,raw,lambda_6,3.5238438853268397,302.85434204466526,307.74184850437746,-2.815533980582522,178.12216423631637,174.88164409808297
EK03,raw,lambda_7,3.970155654672759,439.880088092176,342.2751361027205,-3.257281553398058,259.1523984971282,203.75626175624524
EK03,raw,lambda_8,4.380007536456695,567.8445930547651,421.38048768426273,-3.6310679611650505,344.37639545408047,248.26275663817881
EK03,raw,lambda_9,4.6867920177319276,656.4736333891341,450.0366071930588,-3.946601941747572,415.73768014620373,277.9281731247728
EK03,raw,lambda_10,4.966880601808477,743.3870286207923,502.20455463252597,-4.233009708737862,490.28340561407805,314.64080511221925
EK03,raw,lambda_11,5.358506530089301,943.2903585208265,469.17575634033483,-4.616504854368935,636.6385034619273,300.4417951247774
EK03,raw,lambda_12,5.5895186238711085,1026.5391329480728,503.78692383368923,-4.883495145631065,716.6235467559724,319.3422689804088
EK03,raw,lambda_13,5.865813412502246,1160.7204927681225,481.0851133666263,-5.21359223300971,844.7002483049507,338.522527019954
EK03,raw,lambda_14,6.054365351201166,1226.7973993954934,482.87449604304345,-5.412621359223303,919.8066964025501,350.6666560365964
EK03,raw,lambda_15,6.244997998398398,1320.6071356425216,538.3346148536649,-5.640776699029126,1030.3344890473597,374.4906042132284
EK03,sg,lambda_2,3.8193426974777602,198.71687671831992,193.37109679194597,-3.276699029126213,61.308972710065234,62.4788667911623
EK03,sg,lambda_3,3.859800286598672,269.239691019515,253.05491444046888,-3.2669902912621374,160.81494295760407,156.10631315925272
EK03,sg,lambda_4,4.780624324503949,484.568122250288,404.29532983668065,-4.223300970873787,348.7730368363529,294.7659769879215
EK03,sg,lambda_5,5.570379359935212,806.9702571917602,559.9802412449408,-5.029126213592232,621.2018248574275,406.0318440912937
EK03,sg,lambda_6,6.163232665834049,1151.6713766863015,666.511609657816,-5.645631067961166,922.7649347067129,501.9807642907139
EK03,sg,lambda_7,6.536306370640363,1392.5890635909213,672.4357652920374,-6.043689320388348,1171.72357131959,556.4307810426457
EK03,sg,lambda_8,6.781614207704234,1543.682312159844,818.4615600354466,-6.291262135922329,1350.9445185062054,633.3238237521641
EK03,sg,lambda_9,6.910664335170537,1678.0427152302454,791.0142358731395,-6.417475728155341,1476.6631515320323,630.502318118552
EK03,sg,lambda_10,7.0097020143581785,1741.2106511145432,877.7898423372117,-6.533980582524272,1561.0807513057482,681.3845577459743
EK03,sg,lambda_11,7.0741564387839455,1801.1556696596354,999.2770615331999,-6.616504854368931,1635.833135232288,772.0705755904124
EK03,sg,lambda_12,7.088894637703824,1812.5063792621015,1135.1564350979793,-6.640776699029127,1654.7969680504768,904.9378471661178
